case_name,base_cycle,target_cycle,method,variable,effective_window,slope,base_value,predicted_value,reference_value,strain_range_reference,absolute_error,relative_error_percent,normalized_error_percent,drift_direction_ok,finite,status
B1_stress_m150_to_250,10,100,linear_last_2,strain_mean,2,8.333355470370105e-05,0.0161720079004977,0.023672027823830794,0.0209366316147213,0.0034995675435164,0.0027353962091094947,13.065120786603224,78.16383524808158,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_2,ratcheting_strain,2,8.333355470369974e-05,0.0022020494902833,0.009702069413616277,0.0069666732045069,0.0034995675435164,0.0027353962091093776,39.26402357067341,78.16383524807823,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_2,strain_max,2,4.407885546470203e-05,0.0186121253152,0.022579222307023184,0.0226864153864795,0.0034995675435164,0.00010719307945631501,0.47249897187459255,3.0630378789205004,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_2,strain_min,2,0.00012258825394279894,0.0137318904857955,0.024764833340647406,0.0191868478429631,0.0034995675435164,0.0055779854976843075,29.071922304997432,159.39070837534095,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_2,strain_range,2,-7.850939847800064e-05,0.0048802348294045,-0.002185611033615558,0.0034995675435164,0.0034995675435164,0.005685178577131958,162.45374625401382,162.45374625401382,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_2,hysteresis_area,2,-0.02296992622098004,0.865388585184188,-1.201904774704016,0.4855059987238952,0.0034995675435164,1.6874107734279111,347.55714200506367,48217.694113495636,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,strain_mean,5,9.172620076935024e-05,0.0161720079004977,0.02442736596973922,0.0209366316147213,0.0034995675435164,0.00349073435501792,16.672855592317244,99.74759199847864,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,ratcheting_strain,5,9.172620076934997e-05,0.0022020494902833,0.010457407559524796,0.0069666732045069,0.0034995675435164,0.0034907343550178967,50.10618773907266,99.74759199847796,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,strain_max,5,4.427787976205022e-05,0.0186121253152,0.02259713449378452,0.0226864153864795,0.0034995675435164,8.928089269497758e-05,0.3935434098953624,2.5511978718738275,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,strain_min,5,0.00013917452177664982,0.0137318904857955,0.026257597445693982,0.0191868478429631,0.0034995675435164,0.007070749602730884,36.85206481336707,202.04638186883298,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,strain_range,5,-9.489664201460003e-05,0.0048802348294045,-0.0036604629519095032,0.0034995675435164,0.0034995675435164,0.007160030495425903,204.597579740708,204.597579740708,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_5,hysteresis_area,5,-0.027881090243497303,0.865388585184188,-1.6439095367305692,0.4855059987238952,0.0034995675435164,2.1294155354544646,438.5971627645022,60847.96218320183,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,strain_mean,10,0.00024467216558703327,0.0161720079004977,0.0381925028033307,0.0209366316147213,0.0034995675435164,0.017255871188609398,82.41951955861025,493.08581629119027,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,ratcheting_strain,10,0.0002446721655870333,0.0022020494902833,0.0242225443931163,0.0069666732045069,0.0034995675435164,0.017255871188609398,247.69169849170163,493.08581629119027,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,strain_max,10,0.0001306150962628112,0.0186121253152,0.03036748397885301,0.0226864153864795,0.0034995675435164,0.007681068592373511,33.85756833559181,219.48622213633564,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,strain_min,10,0.00035872923491127767,0.0137318904857955,0.04601752162781049,0.0191868478429631,0.0034995675435164,0.02683067378484739,139.83888340829114,766.685410446105,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,strain_range,10,-0.0002281141386484556,0.0048802348294045,-0.015650037648956505,0.0034995675435164,0.0034995675435164,0.019149605192472906,547.1991883097417,547.1991883097417,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_10,hysteresis_area,10,-0.052464943597521616,0.865388585184188,-3.8564563385927575,0.4855059987238952,0.0034995675435164,4.3419623373166525,894.3169288801938,124071.39691762616,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,strain_mean,10,0.00024467216558703327,0.0161720079004977,0.0381925028033307,0.0209366316147213,0.0034995675435164,0.017255871188609398,82.41951955861025,493.08581629119027,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,ratcheting_strain,10,0.0002446721655870333,0.0022020494902833,0.0242225443931163,0.0069666732045069,0.0034995675435164,0.017255871188609398,247.69169849170163,493.08581629119027,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,strain_max,10,0.0001306150962628112,0.0186121253152,0.03036748397885301,0.0226864153864795,0.0034995675435164,0.007681068592373511,33.85756833559181,219.48622213633564,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,strain_min,10,0.00035872923491127767,0.0137318904857955,0.04601752162781049,0.0191868478429631,0.0034995675435164,0.02683067378484739,139.83888340829114,766.685410446105,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,strain_range,10,-0.0002281141386484556,0.0048802348294045,-0.015650037648956505,0.0034995675435164,0.0034995675435164,0.019149605192472906,547.1991883097417,547.1991883097417,True,True,ok
B1_stress_m150_to_250,10,100,linear_last_20,hysteresis_area,10,-0.052464943597521616,0.865388585184188,-3.8564563385927575,0.4855059987238952,0.0034995675435164,4.3419623373166525,894.3169288801938,124071.39691762616,True,True,ok
