case_id,block_id,base_cycle,target_cycle,recovery_end_cycle,DeltaN,raw_formula_DeltaN,m_STATEV1,c_STATEV1,estimated_local_error_STATEV1_percent,base_STATEV1,predicted_target_STATEV1,recovered_end_STATEV1,final_status,block_final_s11_error_pct,block_final_rf1_error_pct,case_dir,LOCAL_TOL,SAFETY_FACTOR,DN_MIN,DN_MAX,RECOVERY_WINDOW,prediction_order,deltaN_control_variables,injection_mode
B1,1,10,23,33,13,19,0.00718564433711,-1.10361725167e-06,0.0569743199068,0.0702667832375,0.16368015962,0.235127046704,accepted_exploratory_success,12.223564919,12.223564919,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block01_base10_target23_to33,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,2,33,51,61,18,27,0.0071603932551,-1.12255414167e-06,0.0499578885304,0.235127046704,0.364014125296,0.435312867165,accepted_exploratory_success,12.2834058009,12.2834058013,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block02_base33_target51_to61,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,3,61,85,95,24,35,0.00712895819119,-1.11262003667e-06,0.0528414273154,0.435312867165,0.606407863754,0.677324771881,accepted_exploratory_success,12.3552128178,12.355212818,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block03_base61_target85_to95,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,4,95,124,134,29,42,0.00709137746266,-1.10268592833e-06,0.0525133305921,0.677324771881,0.882974718298,0.953469872475,accepted_exploratory_success,12.4365365434,12.4365365438,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block04_base95_target124_to134,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,5,134,168,178,34,49,0.00704922846385,-1.072883605e-06,0.0519741884189,0.953469872475,1.19314364025,1.26317501068,accepted_exploratory_success,12.5269828208,12.5269828206,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block05_base134_target168_to178,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,6,178,217,227,39,56,0.00700289862496,-1.05301539e-06,0.052126826113,1.26317501068,1.53628805705,1.60581707954,accepted_exploratory_success,12.6261893878,12.6261893876,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block06_base178_target217_to227,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,7,227,270,280,43,62,0.00695271151406,-1.03314717667e-06,0.0501445165424,1.60581707954,1.90478367464,1.97376942635,accepted_exploratory_success,12.7354830786,12.735483079,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block07_base227_target270_to280,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,8,280,328,338,48,69,0.00689830098833,-1.01327896167e-06,0.0506444316495,1.97376942635,2.30488787379,2.37329626083,accepted_exploratory_success,12.8532970423,12.853297042,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block08_base280_target328_to338,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,9,338,391,401,53,76,0.00684056963239,-9.93410746667e-07,0.0509986732993,2.37329626083,2.73584645135,2.80364894867,accepted_exploratory_success,12.9793127485,12.9793127483,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block09_base338_target391_to401,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
B1,10,401,458,468,57,82,0.00677994319371,-9.93410745e-07,0.0505875322512,2.80364894867,3.19010571071,3.25728654861,accepted_exploratory_success,13.1111279557,13.1111279559,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14c_adaptive_sweep_2000cycles/strategy_B1/block10_base401_target458_to468,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress
