VP-3 controller: implicit cycle-jump + auto-grow DeltaN

Target total cycles to advance: 5000
Final cycles advanced: 400
Final DeltaN (controller state): 22

Columns:
jump_id  N_advanced_before  DeltaN_use  R_before  R_jump  dEpbar_last  dEpbar_trial  err  accepted

1  0  10  5.829572e+00  1.431886e+01  9.495631e-04  8.477394e-04  1.072321e-01  True
2  10  10  1.516660e+01  2.279839e+01  8.477394e-04  7.623360e-04  1.007426e-01  True
3  20  10  2.356072e+01  3.047279e+01  7.623360e-04  6.906033e-04  9.409585e-02  True
4  30  10  3.116339e+01  3.741296e+01  6.906033e-04  6.303251e-04  8.728344e-02  True
5  40  10  3.804329e+01  4.378771e+01  6.303251e-04  5.787181e-04  8.187366e-02  True
6  50  10  4.436642e+01  4.967335e+01  5.787181e-04  5.341439e-04  7.702219e-02  True
7  60  10  5.020750e+01  5.513255e+01  5.341439e-04  4.953256e-04  7.267391e-02  True
8  70  10  5.562788e+01  6.021722e+01  4.953256e-04  4.612637e-04  6.876678e-02  True
9  80  10  6.067849e+01  6.497074e+01  4.612637e-04  4.311694e-04  6.524307e-02  True
10  90  10  6.540191e+01  6.942968e+01  4.311694e-04  4.044143e-04  6.205232e-02  True
11  100  10  6.983409e+01  7.362511e+01  4.044143e-04  3.804927e-04  5.915138e-02  True
12  110  10  7.400561e+01  7.758364e+01  3.804927e-04  3.589934e-04  5.650370e-02  True
13  120  10  7.794264e+01  8.132818e+01  3.589934e-04  3.395797e-04  5.407830e-02  True
14  130  10  8.166776e+01  8.487860e+01  3.395797e-04  3.219729e-04  5.184886e-02  True
15  140  10  8.520057e+01  8.825223e+01  3.219729e-04  3.059409e-04  4.979295e-02  True
16  150  10  8.855817e+01  9.146426e+01  3.059409e-04  2.912889e-04  4.789138e-02  True
17  160  10  9.175555e+01  9.452808e+01  2.912889e-04  2.778525e-04  4.612762e-02  True
18  170  15  9.480594e+01  9.869541e+01  2.778525e-04  2.604248e-04  6.272290e-02  True
19  185  15  9.895583e+01  1.026143e+02  2.604248e-04  2.448510e-04  5.980122e-02  True
20  200  15  1.028591e+02  1.063099e+02  2.448510e-04  2.308641e-04  5.712421e-02  True
21  215  15  1.065407e+02  1.098039e+02  2.308641e-04  2.182438e-04  5.466570e-02  True
22  230  15  1.100221e+02  1.131151e+02  2.182438e-04  2.068073e-04  5.240219e-02  True
23  245  15  1.133219e+02  1.162600e+02  2.068073e-04  1.964023e-04  5.031281e-02  True
24  260  15  1.164564e+02  1.192530e+02  1.964023e-04  1.869005e-04  4.837921e-02  True
25  275  15  1.194399e+02  1.221067e+02  1.869005e-04  1.781937e-04  4.658529e-02  True
26  290  22  1.222849e+02  1.259431e+02  1.781937e-04  1.670238e-04  6.268367e-02  True
27  312  22  1.261102e+02  1.295513e+02  1.670238e-04  1.570445e-04  5.974804e-02  True
28  334  22  1.297084e+02  1.329544e+02  1.570445e-04  1.480826e-04  5.706568e-02  True
29  356  22  1.331025e+02  1.361723e+02  1.480826e-04  1.399963e-04  5.460659e-02  True
30  378  22  1.363123e+02  1.392223e+02  1.399963e-04  1.326682e-04  5.234502e-02  True
