Time_s,Displacement_mm,ReactionForce_N,Avg_S11_MPa
0,0,0,0
0.001,0.0005000000237,0,0
0.0020000001,0.001000000047,0,0
0.0035000001,0.001750000054,0,0
0.00575,0.002875000006,0,0
0.0091249999,0.004562499933,0,0
0.0141875,0.00709374994,0,0
0.021781251,0.01089062542,0,0
0.033171874,0.01658593677,0,0
0.050257813,0.02512890659,0,0
0.075886719,0.03794335946,0,0
0.11433008,0.05716503784,0,0
0.16433008,0.08216504008,0,0
0.21433008,0.1071650386,0,0
0.26433009,0.1321650445,0,0
0.31433007,0.1571650356,0,0
0.36433008,0.1821650416,0,0
0.41433007,0.2071650326,0,0
0.46433008,0.2321650386,0,0
0.51433009,0.2571650445,0,0
0.5643301,0.2821650505,0,0
0.61433005,0.3071650267,0,0
0.66433007,0.3321650326,0,0
0.71433008,0.3571650386,0,0
0.76433009,0.3821650445,0,0
0.8143301,0.4071650505,0,0
0.86433005,0.4321650267,0,0
0.91433007,0.4571650326,0,0
0.96433008,0.4821650386,0,0
1,0.5,0,0
