Time_s,Max_Viscoplastic_Strain,Avg_Viscoplastic_Strain,Num_Elements
0.000000,0.00000000,0.00000000,8
0.001000,0.00000000,0.00000000,8
0.002000,0.00100000,0.00100000,8
0.003500,0.00300000,0.00300000,8
0.005750,0.00650000,0.00650000,8
0.009125,0.01225000,0.01225000,8
0.014187,0.02137500,0.02137500,8
0.021781,0.03556250,0.03556250,8
0.033172,0.05734375,0.05734375,8
0.050258,0.09051563,0.09051563,8
0.075887,0.14077343,0.14077343,8
0.114330,0.21666016,0.21666016,8
0.164330,0.33099023,0.33099023,8
0.214330,0.49532032,0.49532032,8
0.264330,0.70965040,0.70965040,8
0.314330,0.97398049,0.97398049,8
0.364330,1.28831053,1.28831053,8
0.414330,1.65264058,1.65264058,8
0.464330,2.06697059,2.06697059,8
0.514330,2.53130078,2.53130078,8
0.564330,3.04563093,3.04563093,8
0.614330,3.60996103,3.60996103,8
0.664330,4.22429085,4.22429085,8
0.714330,4.88862133,4.88862133,8
0.764330,5.60295105,5.60295105,8
0.814330,6.36728144,6.36728144,8
0.864330,7.18161154,7.18161154,8
0.914330,8.04594135,8.04594135,8
0.964330,8.96027184,8.96027184,8
1.000000,9.92460155,9.92460155,8
