cycle,time,target_time,time_error,integration_point_values_averaged,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15
1,1,1,0,8,0.00559759652242,-87.6441726685,43.8220863342,43.8220863342,2.20513190863e-16,1.33941310685e-15,-1.96417816666e-15,-0.00178161333315,0.000890806666575,0.000890806666575,3.83246666292e-20,1.50378567695e-20,-3.98018423238e-20,0.05596813187,0,0.00559759652242,-87.6441726685,43.8220863342,43.8220863342,2.20513190863e-16,1.33941310685e-15,-1.96417816666e-15,-0.00178161333315,0.000890806666575,0.000890806666575,3.83246666292e-20,1.50378567695e-20,-3.98018423238e-20,0.05596813187,0
2,2,2,0,8,0.0124740088359,-84.0875396729,42.0437698364,42.0437698364,2.58829807026e-15,2.45639647348e-15,-1.36821066534e-15,-0.0017014418263,0.000850720913149,0.000850720913149,1.12946634379e-19,5.30201446896e-20,-3.11858169821e-20,0.124701194465,0,0.00687641231343,3.55663299561,-1.7783164978,-1.7783164978,2.3677848794e-15,1.11698336663e-15,5.95967501323e-16,8.01715068519e-05,-4.0085753426e-05,-4.0085753426e-05,7.46219677496e-20,3.79822879201e-20,8.61602534171e-21,0.0687330625951,0
3,3,3,0,8,0.0192770175636,-84.162071228,42.081035614,42.081035614,-1.15921660143e-15,1.08719868389e-15,-2.2243028533e-15,-0.00170051155146,0.000850255775731,0.000850255775731,1.2976144204e-19,1.18954840563e-20,-3.79299010937e-20,0.19267731905,0,0.00680300872773,-0.0745315551758,0.0372657775879,0.0372657775879,-3.7475146717e-15,-1.36919778959e-15,-8.56092187964e-16,9.30274836719e-07,-4.6513741836e-07,-4.6513741836e-07,1.68148076609e-20,-4.11246606333e-20,-6.74408411155e-21,0.0679761245847,0
4,4,4,0,8,0.0260784551501,-84.1584320068,42.0792160034,42.0792160034,-1.58325461244e-15,2.6687841782e-15,-1.65544828601e-15,-0.00170021760277,0.000850108801387,0.000850108801387,1.59803727743e-19,4.48890206605e-20,-2.81134331192e-20,0.260614603758,0,0.00680143758655,0.00363922119141,-0.0018196105957,-0.0018196105957,-4.24038011003e-16,1.58158549431e-15,5.68854567288e-16,2.93948687613e-07,-1.46974343807e-07,-1.46974343807e-07,3.00422857033e-20,3.29935366042e-20,9.8164679745e-21,0.067937284708,0
5,5,5,0,8,0.032878767699,-84.1528549194,42.0764274597,42.0764274597,1.26261772495e-15,2.6958679475e-15,-1.75262639744e-15,-0.0016999397194,0.000849969859701,0.000849969859701,2.58717812827e-19,9.1112636453e-20,-1.72485983346e-20,0.328517585993,0,0.00680031254888,0.00557708740234,-0.00278854370117,-0.00278854370117,2.84587233739e-15,2.70837693006e-17,-9.71781114225e-17,2.77883373201e-07,-1.389416866e-07,-1.389416866e-07,9.89140850842e-20,4.62236157924e-20,1.08648347845e-20,0.067902982235,0
6,6,6,0,8,0.0396779738367,-84.1472244263,42.0736122131,42.0736122131,1.86196036306e-15,2.64975467975e-15,-1.69462300396e-15,-0.0016996624181,0.000849831209052,0.000849831209052,2.77446834338e-19,1.48083445226e-19,-7.71700542582e-21,0.396386414766,0,0.00679920613766,0.00563049316406,-0.00281524658203,-0.00281524658203,5.99342638104e-16,-4.61132677419e-17,5.80033934773e-17,2.77301296592e-07,-1.38650648296e-07,-1.38650648296e-07,1.87290215109e-20,5.69708087725e-20,9.53159290882e-21,0.0678688287735,0
7,7,7,0,8,0.0464760661125,-84.1415863037,42.0707931519,42.0707931519,1.0630140933e-15,2.10611875658e-15,-1.86716202713e-15,-0.00169938523322,0.000849692616612,0.000849692616612,3.38580689855e-19,1.65830312847e-19,-9.50644104443e-21,0.464221090078,0,0.00679809227586,0.00563812255859,-0.0028190612793,-0.0028190612793,-7.98946269762e-16,-5.43635923178e-16,-1.72539023169e-16,2.7718488127e-07,-1.38592440635e-07,-1.38592440635e-07,6.11338555167e-20,1.77468676211e-20,-1.78943561861e-21,0.067834675312,0
8,8,8,0,8,0.0532730557024,-84.1359558105,42.0679779053,42.0679779053,2.2995894743e-16,1.65847806993e-16,-1.98226947644e-15,-0.00169910816476,0.000849554082379,0.000849554082379,3.2575048484e-19,1.22842094467e-19,-9.71859631178e-21,0.532021641731,0,0.00679698958993,0.00563049316406,-0.00281524658203,-0.00281524658203,-8.33055145866e-16,-1.94027094958e-15,-1.15107449309e-16,2.77068465948e-07,-1.38534232974e-07,-1.38534232974e-07,-1.28302050148e-20,-4.29882183799e-20,-2.12155267352e-22,0.0678005516529,0
9,9,9,0,8,0.0600689351559,-84.1303253174,42.0651626587,42.0651626587,1.70052590709e-15,1.000794547e-15,-1.68281454845e-15,-0.00169883132912,0.000849415664561,0.000849415664561,3.85108228889e-19,4.86914058534e-20,-8.84543129312e-21,0.599788188934,0,0.00679587945342,0.00563049316406,-0.00281524658203,-0.00281524658203,1.47056695966e-15,8.34946740009e-16,2.99454927983e-16,2.76835635304e-07,-1.38417817652e-07,-1.38417817652e-07,5.93577440491e-20,-7.41506886133e-20,8.73165018658e-22,0.0677665472031,0
10,10,10,0,8,0.0668637081981,-84.1246871948,42.0623435974,42.0623435974,-1.15146756022e-15,7.8810255728e-16,-2.38101324109e-15,-0.0016985546099,0.000849277304951,0.000849277304951,3.22385647798e-19,3.53050277986e-21,-3.16592264215e-20,0.667520582676,0,0.0067947730422,0.00563812255859,-0.0028190612793,-0.0028190612793,-2.85199346731e-15,-2.12691989722e-16,-6.98198692637e-16,2.76719219983e-07,-1.38359609991e-07,-1.38359609991e-07,-6.27225810911e-20,-4.51609030735e-20,-2.28137951284e-20,0.0677323937416,0
