target_type,target_cycle,jump_base_cycle,cycles_skipped,statev_index,symbol_or_name,role,used_for_jump_control,base_value_cycle_10,mean_dSTATEV_dN_used,mean_d2STATEV_dN2_used,first_order_prediction,second_order_prediction,explicit_reference,first_order_abs_error,first_order_rel_error_percent,second_order_abs_error,second_order_rel_error_percent
vector_global_adaptive_target,11,10,1,1,p,active_vector_component,yes,0.0668637081981,0.00680734574174,-1.02049089037e-05,0.0736710539398,0.0736659514854,0.0736573711038,-1.368283604e-05,0.0185763296123,-8.58038158813e-06,0.0116490467411
vector_global_adaptive_target,11,10,1,2,X11,active_vector_component,yes,-84.1246871948,0.391053941515,-0.443874359131,-83.7336332533,-83.9555704329,-84.1190567017,-0.385423448415,0.458188029595,-0.16348626885,0.194351048692
vector_global_adaptive_target,11,10,1,3,X22,active_vector_component,yes,42.0623435974,-0.195526970757,0.221937179565,41.8668166266,41.9777852164,42.0595283508,0.192711724157,0.458188029475,0.0817431343745,0.194351048573
vector_global_adaptive_target,11,10,1,4,X33,active_vector_component,yes,42.0623435974,-0.195526970757,0.221937179565,41.8668166266,41.9777852164,42.0595283508,0.192711724157,0.458188029475,0.0817431343745,0.194351048573
vector_global_adaptive_target,11,10,1,5,X12,near_zero_report_only,no,-1.15146756022e-15,-1.52442305676e-16,-6.52472293339e-16,-1.3039098659e-15,-1.63014601257e-15,-8.61193352899e-17,1.21779053061e-15,,1.54402667728e-15,
vector_global_adaptive_target,11,10,1,6,X13,near_zero_report_only,no,7.8810255728e-16,-6.12567277291e-17,-1.66209419544e-16,7.26845829551e-16,6.43741119779e-16,2.21436855146e-15,1.48752272191e-15,,1.57062743168e-15,
vector_global_adaptive_target,11,10,1,7,X23,near_zero_report_only,no,-2.38101324109e-15,-4.631500827e-17,-1.61770774245e-16,-2.42732824936e-15,-2.50821363648e-15,-1.58993182626e-15,8.373964231e-16,,9.18281810223e-16,
vector_global_adaptive_target,11,10,1,8,Evp11,active_vector_component,yes,-0.0016985546099,9.22874702761e-06,-9.98684845399e-06,-0.00168932586287,-0.0016943192871,-0.00169827812351,-8.95226063761e-06,0.527137487888,-3.95883641062e-06,0.233108838642
vector_global_adaptive_target,11,10,1,9,Evp22,active_vector_component,yes,0.000849277304951,-4.61437351381e-06,4.993424227e-06,0.000844662931437,0.000847159643551,0.000849139061756,4.47613031881e-06,0.527137487888,1.97941820531e-06,0.233108838642
vector_global_adaptive_target,11,10,1,10,Evp33,active_vector_component,yes,0.000849277304951,-4.61437351381e-06,4.993424227e-06,0.000844662931437,0.000847159643551,0.000849139061756,4.47613031881e-06,0.527137487888,1.97941820531e-06,0.233108838642
vector_global_adaptive_target,11,10,1,11,Evp12,near_zero_report_only,no,3.22385647798e-19,3.1562331241e-20,-1.71680686051e-20,3.53947979039e-19,3.45363944736e-19,3.57482947442e-19,3.53496840302e-21,,1.21190027056e-20,
vector_global_adaptive_target,11,10,1,12,Evp13,near_zero_report_only,no,3.53050277986e-21,-1.27859488774e-21,-1.03928988742e-20,2.25190789212e-21,-2.94454154498e-21,3.47556090235e-21,1.22365301023e-21,,6.42010244733e-21,
vector_global_adaptive_target,11,10,1,13,Evp23,near_zero_report_only,no,-3.16592264215e-20,9.04735100253e-22,-3.92872755876e-21,-3.07544913212e-20,-3.27188551006e-20,-1.02277772737e-20,2.05267140475e-20,,2.24910778269e-20,
vector_global_adaptive_target,11,10,1,14,RISO,recomputable_report_only,no,0.667520582676,0.0679502723118,-0.000125083606687,0.735470854988,0.735408313184,0.73521900177,-0.000251853217767,0.0342555370795,-0.000189311414423,0.0257489828156
vector_global_adaptive_target,11,10,1,15,DP,diagnostic_report_only,no,0,0,0,0,0,0,0,,0,
scalar_sdv1_adaptive_target,19,10,9,1,p,active_vector_component,yes,0.0668637081981,0.00680734574174,-1.02049089037e-05,0.128129819874,0.127716521063,0.127966940403,-0.00016287947076,0.127282460804,0.000250419339842,0.195690651862
scalar_sdv1_adaptive_target,19,10,9,2,X11,active_vector_component,yes,-84.1246871948,0.391053941515,-0.443874359131,-80.6052017212,-98.582113266,-84.0739746094,-3.46877288824,4.12585809622,14.5081386566,17.256396791
