cycle,target_time,nearest_frame_time,time_error,point_type,U1_mm,EngStrain,Avg_S11_MPa,RF1_N,Avg_SDV1_p,Avg_SDV15_dp
1,0.25,0.2502578199,0.000257819891,peak_tension,0.049948439,0.0049948439,648.2124634,2592.849854,0.001907991595,0.0003287321888
1,0.5,0.4902577996,-0.009742200375,zero_after_tension,0.001948437537,0.0001948437537,-359.7610474,-1439.044189,0.001907991595,0
1,0.75,0.7502577901,0.0002577900887,peak_compression,-0.049948439,-0.0049948439,-674.749939,-2698.999756,0.005597596522,0.000357128476
1,1,0.9902577996,-0.009742200375,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,333.2216187,1332.886475,0.005597596522,0
2,1.25,1.25025785,0.0002578496933,peak_tension,0.049948439,0.0049948439,670.8078613,2683.231445,0.009179596789,0.0003525081265
2,1.5,1.490257859,-0.00974214077,zero_after_tension,0.001948437537,0.0001948437537,-337.1640625,-1348.65625,0.009179596789,0
2,1.75,1.75025785,0.0002578496933,peak_compression,-0.049948439,-0.0049948439,-671.4525146,-2685.810059,0.01277730055,0.00035320592
2,2,1.990257859,-0.00974214077,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.5193787,1346.077515,0.01277730055,0
3,2.25,2.25025773,0.000257730484,peak_tension,0.049948439,0.0049948439,671.3881836,2685.552734,0.01637224108,0.0003530908143
3,2.5,2.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.5836792,-1346.334717,0.01637224108,0
3,2.75,2.75025773,0.000257730484,peak_compression,-0.049948439,-0.0049948439,-671.4330444,-2685.732178,0.01996727288,0.000353101088
3,3,2.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.5388184,1346.155273,0.01996727288,0
4,3.25,3.25025773,0.000257730484,peak_tension,0.049948439,0.0049948439,671.4610596,2685.844238,0.02356196009,0.0003530920367
4,3.5,3.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.5108032,-1346.043213,0.02356196009,0
4,3.75,3.75025773,0.000257730484,peak_compression,-0.049948439,-0.0049948439,-671.4916992,-2685.966797,0.02715636604,0.000353085954
4,4,3.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.4801941,1345.920776,0.02715636604,0
5,4.25,4.250257969,0.0002579689026,peak_tension,0.049948439,0.0049948439,671.5218506,2686.087402,0.03075048327,0.0003530794056
5,4.5,4.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.4500122,-1345.800049,0.03075048327,0
5,4.75,4.750257969,0.0002579689026,peak_compression,-0.049948439,-0.0049948439,-671.552124,-2686.208496,0.0343443118,0.0003530729446
5,5,4.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.4197388,1345.678955,0.0343443118,0
6,5.25,5.250257969,0.0002579689026,peak_tension,0.049948439,0.0049948439,671.5823364,2686.329346,0.03793785349,0.0003530664835
6,5.5,5.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.3895264,-1345.558105,0.03793785349,0
6,5.75,5.750257969,0.0002579689026,peak_compression,-0.049948439,-0.0049948439,-671.6126099,-2686.450439,0.04153110832,0.0003530600225
6,6,5.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.359314,1345.437256,0.04153110832,0
7,6.25,6.250257969,0.0002579689026,peak_tension,0.049948439,0.0049948439,671.6428223,2686.571289,0.04512407258,0.0003530535323
7,6.5,6.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.3291016,-1345.316406,0.04512407258,0
7,6.75,6.750257969,0.0002579689026,peak_compression,-0.049948439,-0.0049948439,-671.6729736,-2686.691895,0.04871675,0.0003530470713
7,7,6.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.2988892,1345.195557,0.04871675,0
8,7.25,7.250257969,0.0002579689026,peak_tension,0.049948439,0.0049948439,671.703186,2686.812744,0.05230914056,0.0003530406102
8,7.5,7.49025774,-0.009742259979,zero_after_tension,0.001948437537,0.0001948437537,-336.2687073,-1345.074829,0.05230914056,0
8,7.75,7.750257969,0.0002579689026,peak_compression,-0.049948439,-0.0049948439,-671.7333984,-2686.933594,0.05590124428,0.0003530341201
8,8,7.99025774,-0.009742259979,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.2384949,1344.953979,0.05590124428,0
9,8.25,8.250257492,0.0002574920654,peak_tension,0.049948439,0.0049948439,671.7635498,2687.054199,0.05949305743,0.000353027659
9,8.5,8.490258217,-0.009741783142,zero_after_tension,0.001948437537,0.0001948437537,-336.2083435,-1344.833374,0.05949305743,0
9,8.75,8.750257492,0.0002574920654,peak_compression,-0.049948439,-0.0049948439,-671.7937012,-2687.174805,0.06308458745,0.000353021198
9,9,8.990258217,-0.009741783142,zero_after_compression_cycle_end,-0.001948437537,-0.0001948437537,336.1781616,1344.712646,0.06308458745,0
10,9.25,9.250257492,0.0002574920654,peak_tension,0.049948439,0.0049948439,671.8238525,2687.29541,0.06667582691,0.0003530147078
10,9.5,9.490258217,-0.009741783142,zero_after_tension,0.001948437537,0.0001948437537,-336.1480103,-1344.592041,0.06667582691,0
10,9.75,9.750257492,0.0002574920654,peak_compression,-0.049948439,-0.0049948439,-671.8540039,-2687.416016,0.07026678324,0.0003530082467
10,10,10,0,zero_after_compression_cycle_end,0,0,377.0350647,1508.140259,0.07026678324,0
