cycle,SDV1_start,SDV1_end,Delta_SDV1,S11_at_zero_end,RF1_at_zero_end,Max_S11_in_cycle,Min_S11_in_cycle,Stress_Amplitude,Mean_Stress
1,0,0.005597596522,0.005597596522,333.2216187,1332.886475,648.2124634,-674.749939,661.4812012,-13.26873779
2,0.005597596522,0.01277730055,0.007179704029,336.5193787,1346.077515,670.8078613,-671.4525146,671.130188,-0.3223266602
3,0.01277730055,0.01996727288,0.007189972326,336.5388184,1346.155273,671.3881836,-671.4330444,671.410614,-0.02243041992
4,0.01996727288,0.02715636604,0.007189093158,336.4801941,1345.920776,671.4610596,-671.4916992,671.4763794,-0.01531982422
5,0.02715636604,0.0343443118,0.007187945768,336.4197388,1345.678955,671.5218506,-671.552124,671.5369873,-0.01513671875
6,0.0343443118,0.04153110832,0.007186796516,336.359314,1345.437256,671.5823364,-671.6126099,671.5974731,-0.01513671875
7,0.04153110832,0.04871675,0.007185641676,336.2988892,1345.195557,671.6428223,-671.6729736,671.6578979,-0.01507568359
8,0.04871675,0.05590124428,0.007184494287,336.2384949,1344.953979,671.703186,-671.7333984,671.7182922,-0.01510620117
9,0.05590124428,0.06308458745,0.007183343172,336.1781616,1344.712646,671.7635498,-671.7937012,671.7786255,-0.01507568359
10,0.06308458745,0.07026678324,0.007182195783,336.1178589,1344.471436,671.8238525,-671.8540039,671.8389282,-0.01507568359
11,0.07026678324,0.07744782418,0.007181040943,336.0576172,1344.230469,671.8841553,-671.9143066,671.899231,-0.01507568359
12,0.07744782418,0.08462772518,0.007179901004,335.9973755,1343.989502,671.944397,-671.9744873,671.9594421,-0.01504516602
13,0.08462772518,0.0918064788,0.007178753614,335.9371948,1343.748779,672.0045776,-672.034668,672.0196228,-0.01504516602
14,0.0918064788,0.09898408502,0.007177606225,335.8770447,1343.508179,672.0647583,-672.0948486,672.0798035,-0.01504516602
15,0.09898408502,0.1061605439,0.007176458836,335.816925,1343.2677,672.1248779,-672.1549683,672.1399231,-0.01504516602
16,0.1061605439,0.1133358628,0.007175318897,335.7568665,1343.027466,672.1849976,-672.2150269,672.2000122,-0.01501464844
17,0.1133358628,0.1205100343,0.007174171507,335.6968384,1342.787354,672.2450562,-672.2750854,672.2600708,-0.01501464844
18,0.1205100343,0.1276830584,0.007173024118,335.6368408,1342.547363,672.3050537,-672.335083,672.3200684,-0.01501464844
19,0.1276830584,0.1348549426,0.007171884179,335.5768738,1342.307495,672.3650513,-672.3950195,672.3800354,-0.01498413086
20,0.1348549426,0.1420256943,0.007170751691,376.4341431,1505.736572,672.4249878,-672.4549561,672.4399719,-0.01498413086
