Time_s,U1_mm,EngStrain,RF1_N,Avg_S11_MPa,Avg_SDV1_p,Avg_SDV15_dp
0,0,0,0,0,0,0
0.001,0.0003999999899,3.999999899e-05,33.59999847,8.399999619,0,0
0.0020000001,0.0007999999798,7.999999798e-05,67.19999695,16.79999924,0,0
0.0035000001,0.00139999995,0.000139999995,117.5999985,29.39999962,0,0
0.00575,0.002300000051,0.0002300000051,193.1999969,48.29999924,0,0
0.0091249999,0.003650000086,0.0003650000086,306.6000061,76.65000153,0,0
0.0141875,0.005675000139,0.0005675000139,476.7000122,119.1750031,0,0
0.021781251,0.008712500334,0.0008712500334,731.8499756,182.9624939,0,0
0.033171874,0.01326875016,0.001326875016,1114.574951,278.6437378,0,0
0.050257813,0.0201031249,0.00201031249,1688.662476,422.1656189,0,0
0.070257813,0.02810312435,0.002810312435,2157.494141,539.3735352,0.0002419176599,0.0002419176599
0.090257816,0.03610312566,0.003610312566,2357.304443,589.3261108,0.0008040647954,0.0005621471209
0.11025781,0.04410312325,0.004410312325,2525.379883,631.3449707,0.001403987641,0.0005999228451
0.13025782,0.05210312456,0.005210312456,2653.219971,663.3049927,0.002051818185,0.0006478306605
0.15025781,0.06010312587,0.006010312587,2746.402344,686.6005859,0.002740873257,0.0006890548975
0.17025781,0.06810312718,0.006810312718,2811.82251,702.9556274,0.003462974448,0.0007221012493
0.19025782,0.07610312849,0.007610312849,2856.252441,714.0631104,0.004210064653,0.0007470900309
0.21025781,0.08410312235,0.008410312235,2886.021729,721.5054321,0.004974949639,0.000764885277
0.23025781,0.09210312366,0.009210312366,2904.968262,726.2420654,0.00575234415,0.000777394278
0.25025782,0.099896878,0.0099896878,2911.479004,727.869751,0.006523350254,0.0007710062782
0.2702578,0.09189687669,0.009189687669,2239.723145,559.9307861,0.006523350254,0
0.29025781,0.08389687538,0.008389687538,1567.723267,391.9308167,0.006523350254,0
0.31025782,0.07589687407,0.007589687407,895.7232056,223.9308014,0.006523350254,0
0.3302578,0.06789687276,0.006789687276,223.7232056,55.93080139,0.006523350254,0
0.35025781,0.05989687517,0.005989687517,-448.2767944,-112.0691986,0.006523350254,0
0.37025782,0.05189687386,0.005189687386,-1120.276733,-280.0691833,0.006523350254,0
0.39025781,0.04389687628,0.004389687628,-1573.781372,-393.445343,0.00678400835,0.0002606579219
0.41025782,0.03589687496,0.003589687496,-1847.432983,-461.8582458,0.007258143742,0.0004741355369
0.43025783,0.02789687552,0.002789687552,-2118.692627,-529.6731567,0.007734847721,0.0004767038045
0.45025781,0.0198968742,0.00198968742,-2336.476562,-584.1191406,0.008275624365,0.0005407769931
0.47025782,0.01189687476,0.001189687476,-2509.612305,-627.4030762,0.008869491518,0.0005938673276
0.4902578,0.003896875074,0.0003896875074,-2641.566162,-660.3915405,0.009512394667,0.0006429029163
0.51025784,-0.004103125073,-0.0004103125073,-2738.150879,-684.5377197,0.01019739825,0.0006850036443
0.53025782,-0.01210312545,-0.001210312545,-2806.219238,-701.5548096,0.01091634762,0.0007189490134
0.5502578,-0.0201031249,-0.00201031249,-2853.208984,-713.3022461,0.01166087855,0.0007445309893
0.57025778,-0.02810312435,-0.002810312435,-2883.929688,-720.9824219,0.012424252,0.0007633734494
0.59025782,-0.03610312566,-0.003610312566,-2903.623535,-725.9058838,0.01320063137,0.0007763796602
0.6102578,-0.04410312325,-0.004410312325,-2916.124512,-729.0311279,0.01398563012,0.0007849983522
0.63025779,-0.05210312456,-0.005210312456,-2923.97998,-730.9949951,0.01477620844,0.0007905787788
0.65025783,-0.06010312587,-0.006010312587,-2928.871582,-732.2178955,0.01557034068,0.0007941321237
0.67025781,-0.06810312718,-0.006810312718,-2931.901367,-732.9753418,0.0163667053,0.0007963637472
0.69025779,-0.07610312849,-0.007610312849,-2933.774414,-733.4436035,0.01716445573,0.0007977508358
0.71025783,-0.08410312235,-0.008410312235,-2934.93457,-733.7336426,0.01796306297,0.0007986070123
0.73025781,-0.09210312366,-0.009210312366,-2935.656494,-733.9141235,0.01876219548,0.0007991331513
0.75025779,-0.099896878,-0.0099896878,-2930.935059,-732.7337646,0.01954687014,0.0007846739609
0.77025783,-0.09189687669,-0.009189687669,-2259.195557,-564.7988892,0.01954687014,0
0.79025781,-0.08389687538,-0.008389687538,-1587.195557,-396.7988892,0.01954687014,0
0.81025779,-0.07589687407,-0.007589687407,-915.1955566,-228.7988892,0.01954687014,0
0.83025783,-0.06789687276,-0.006789687276,-243.1955719,-60.79889297,0.01954687014,0
0.85025781,-0.05989687517,-0.005989687517,428.8044434,107.2011108,0.01954687014,0
0.87025779,-0.05189687386,-0.005189687386,1100.804443,275.2011108,0.01954687014,0
0.89025784,-0.04389687628,-0.004389687628,1562.226196,390.5565491,0.01979808323,0.0002512130013
0.91025782,-0.03589687496,-0.003589687496,1834.723999,458.6809998,0.0202736333,0.0004755512637
0.9302578,-0.02789687552,-0.002789687552,2108.672119,527.1680298,0.02074702084,0.000473387161
0.95025784,-0.0198968742,-0.00198968742,2328.480225,582.1200562,0.02128548175,0.0005384610849
0.97025782,-0.01189687476,-0.001189687476,2503.510254,625.8775635,0.0218770951,0.0005916130031
0.9902578,-0.003896875074,-0.0003896875074,2637.141846,659.2854614,0.02251799963,0.0006409050548
1,0,0,2640.117188,660.0292969,0.02290419675,0.0003861972364
