cycle,time,target_time,time_error,integration_point_values_averaged,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15
1,1.0017812252,1,0.00178122520447,8,0.00563346128911,-88.9388046265,44.4694023132,44.4694023132,8.62597991606e-16,2.51438120411e-15,-1.80642324994e-15,-0.00180367415305,0.000901837076526,0.000901837076526,6.0835734656e-20,6.48445913797e-20,-3.04770203343e-20,0.0563266798854,2.74923422694e-06,0.00563346128911,-88.9388046265,44.4694023132,44.4694023132,8.62597991606e-16,2.51438120411e-15,-1.80642324994e-15,-0.00180367415305,0.000901837076526,0.000901837076526,6.0835734656e-20,6.48445913797e-20,-3.04770203343e-20,0.0563266798854,2.74923422694e-06
2,2.0017812252,2,0.00178122520447,8,0.0128965480253,-87.4710388184,43.7355194092,43.7355194092,-1.9443833541e-16,3.89612604808e-15,-1.84142686746e-15,-0.00181411311496,0.00090705655748,0.00090705655748,1.2279399739e-19,1.22685235597e-19,-2.43265289871e-20,0.128923907876,3.36129232892e-06,0.0072630867362,1.46776580811,-0.733882904053,-0.733882904053,-1.05703632702e-15,1.38174484397e-15,-3.50036175201e-17,-1.04389619082e-05,5.21948095411e-06,5.21948095411e-06,6.19582627341e-20,5.78406442176e-20,6.15049134722e-21,0.0725972279906,6.12058101979e-07
3,3.0017812252,3,0.00178122520447,8,0.0201659761369,-87.5142288208,43.7571144104,43.7571144104,2.95629483134e-15,2.9661754839e-15,-1.73186255768e-15,-0.00181447016075,0.000907235080376,0.000907235080376,9.74989552561e-20,1.30993090823e-19,-3.08885683365e-20,0.2015581429,2.88743467536e-06,0.00726942811161,-0.0431900024414,0.0215950012207,0.0215950012207,3.15073316675e-15,-9.29950564178e-16,1.09564309779e-16,-3.57045792043e-07,1.78522896022e-07,1.78522896022e-07,-2.5295042134e-20,8.30785522612e-21,-6.56203934941e-21,0.0726342350245,-4.7385765356e-07
4,4.00178146362,4,0.00178146362305,8,0.027434322983,-87.5820236206,43.7910118103,43.7910118103,3.08264702766e-15,2.17561695294e-15,-1.74196650434e-15,-0.00181466294453,0.000907331472263,0.000907331472263,1.08375405708e-19,1.36244092321e-19,-3.88051657698e-20,0.274155169725,2.39634096033e-06,0.0072683468461,-0.0677947998047,0.0338973999023,0.0338973999023,1.26352196323e-16,-7.90558530965e-16,-1.01039466622e-17,-1.92783772945e-07,9.63918864727e-08,9.63918864727e-08,1.08764504521e-20,5.25100149742e-21,-7.91659743323e-21,0.072597026825,-4.91093715027e-07
5,5.00178146362,5,0.00178146362305,8,0.0347014665604,-87.6502227783,43.8251113892,43.8251113892,-2.99008702548e-15,1.84698106019e-15,-1.89200063965e-15,-0.00181485305075,0.000907426525373,0.000907426525373,1.88634725907e-20,1.29227758957e-19,-3.48412507926e-20,0.346713811159,1.90522609955e-06,0.00726714357734,-0.0681991577148,0.0340995788574,0.0340995788574,-6.07273405315e-15,-3.28635892752e-16,-1.5003413531e-16,-1.90106220543e-07,9.50531102717e-08,9.50531102717e-08,-8.95119331175e-20,-7.01633336378e-21,3.96391497712e-21,0.0725586414337,-4.91114860779e-07
6,6.00178146362,6,0.00178146362305,8,0.0419674068689,-87.7184524536,43.8592262268,43.8592262268,1.38295034887e-15,2.34968945316e-15,-1.59224514918e-15,-0.00181504292414,0.000907521462068,0.000907521462068,7.26204611266e-20,1.35588742022e-19,-2.84805825655e-20,0.419234067202,1.41436908052e-06,0.00726594030857,-0.068229675293,0.0341148376465,0.0341148376465,4.37303737436e-15,5.02708392971e-16,2.9975549047e-16,-1.898733899e-07,9.49366949499e-08,9.49366949499e-08,5.37569885359e-20,6.36098306469e-21,6.36066822715e-21,0.0725202560425,-4.90857019031e-07
7,7.00178146362,7,0.00178146362305,8,0.0492321439087,-87.7866897583,43.8933448792,43.8933448792,7.36231773331e-16,2.46977852781e-15,-1.86726985508e-15,-0.00181523279753,0.000907616398763,0.000907616398763,9.00153274502e-20,1.56351858618e-19,-3.24071285578e-20,0.491715997458,9.23774337025e-07,0.0072647370398,-0.0682373046875,0.0341186523438,0.0341186523438,-6.46718575544e-16,1.20089074652e-16,-2.75024705905e-16,-1.898733899e-07,9.49366949499e-08,9.49366949499e-08,1.73948663236e-20,2.07631165964e-20,-3.92654599233e-21,0.0724819302559,-4.90594743496e-07
8,8.00178146362,8,0.00178146362305,8,0.0564956814051,-87.8549346924,43.9274673462,43.9274673462,-1.18128619046e-15,4.15801839819e-15,-1.93973021004e-15,-0.0018154225545,0.00090771127725,0.00090771127725,5.37991355692e-20,1.73806093124e-19,-3.54377406076e-20,0.564159631729,4.33441698533e-07,0.00726353749633,-0.068244934082,0.034122467041,0.034122467041,-1.91751796379e-15,1.68823987038e-15,-7.24603549521e-17,-1.89756974578e-07,9.4878487289e-08,9.4878487289e-08,-3.62161918811e-20,1.7454234506e-20,-3.03061204981e-21,0.0724436342716,-4.90332638492e-07
9,9.00178146362,9,0.00178146362305,8,0.0637580677867,-87.9146881104,43.9573440552,43.9573440552,1.42237937523e-15,3.50955205618e-15,-1.55575740338e-15,-0.00181555573363,0.000907777866814,0.000907777866814,1.46696693993e-19,1.75280058496e-19,-1.7652601343e-20,0.636565506458,0,0.00726238638163,-0.0597534179688,0.0298767089844,0.0298767089844,2.60366556569e-15,-6.48466342004e-16,3.83972806659e-16,-1.3317912817e-07,6.6589564085e-08,6.6589564085e-08,9.28975584241e-20,1.47396537158e-21,1.77851392647e-20,0.0724058747292,-4.33441698533e-07
10,10.0017814636,10,0.00178146362305,8,0.0710196867585,-87.9096298218,43.9548149109,43.9548149109,-2.14541577814e-15,1.12841893346e-15,-2.13853704673e-15,-0.00181525282096,0.000907626410481,0.000907626410481,4.25020922503e-20,1.10907043672e-19,-3.47269678948e-20,0.70893740654,0,0.00726161897182,0.00505828857422,-0.00252914428711,-0.00252914428711,-3.56779515337e-15,-2.38113312272e-15,-5.82779643357e-16,3.02912667394e-07,-1.51456333697e-07,-1.51456333697e-07,-1.04194601743e-19,-6.43730148239e-20,-1.70743665519e-20,0.0723719000816,0
