cycle,SDV1_actual_or_predicted,source
1,0.005597596522,explicit_abaqus
2,0.01277730055,explicit_abaqus
3,0.01996727288,explicit_abaqus
4,0.02715636604,explicit_abaqus
5,0.0343443118,explicit_abaqus
6,0.04153110832,explicit_abaqus
7,0.04871675,explicit_abaqus
8,0.05590124428,explicit_abaqus
9,0.06308458745,explicit_abaqus
10,0.07026678324,explicit_abaqus
11,0.07745224843,cycle_jump_prediction
12,0.08463771362,cycle_jump_prediction
13,0.09182317881,cycle_jump_prediction
14,0.099008644,cycle_jump_prediction
15,0.1061941092,cycle_jump_prediction
16,0.1133795744,cycle_jump_prediction
17,0.1205650396,cycle_jump_prediction
18,0.1277505048,cycle_jump_prediction
19,0.13493597,cycle_jump_prediction
20,0.1421214351,cycle_jump_prediction
21,0.1493069003,cycle_jump_prediction
22,0.1564923655,cycle_jump_prediction
23,0.1636778307,cycle_jump_prediction
24,0.1708632959,cycle_jump_prediction
25,0.1780487611,cycle_jump_prediction
26,0.1852342263,cycle_jump_prediction
27,0.1924196915,cycle_jump_prediction
28,0.1996051567,cycle_jump_prediction
29,0.2067906219,cycle_jump_prediction
30,0.2139760871,cycle_jump_prediction
31,0.2211615522,cycle_jump_prediction
32,0.2283470174,cycle_jump_prediction
33,0.2355324826,cycle_jump_prediction
34,0.2427179478,cycle_jump_prediction
35,0.249903413,cycle_jump_prediction
36,0.2570888782,cycle_jump_prediction
37,0.2642743434,cycle_jump_prediction
38,0.2714598086,cycle_jump_prediction
39,0.2786452738,cycle_jump_prediction
40,0.285830739,cycle_jump_prediction
41,0.2930162041,cycle_jump_prediction
42,0.3002016693,cycle_jump_prediction
43,0.3073871345,cycle_jump_prediction
44,0.3145725997,cycle_jump_prediction
45,0.3217580649,cycle_jump_prediction
46,0.3289435301,cycle_jump_prediction
47,0.3361289953,cycle_jump_prediction
48,0.3433144605,cycle_jump_prediction
49,0.3504999257,cycle_jump_prediction
50,0.3576853909,cycle_jump_prediction
51,0.3648708561,cycle_jump_prediction
52,0.3720563212,cycle_jump_prediction
53,0.3792417864,cycle_jump_prediction
54,0.3864272516,cycle_jump_prediction
55,0.3936127168,cycle_jump_prediction
56,0.400798182,cycle_jump_prediction
57,0.4079836472,cycle_jump_prediction
58,0.4151691124,cycle_jump_prediction
59,0.4223545776,cycle_jump_prediction
60,0.4295400428,cycle_jump_prediction
61,0.436725508,cycle_jump_prediction
62,0.4439109731,cycle_jump_prediction
63,0.4510964383,cycle_jump_prediction
64,0.4582819035,cycle_jump_prediction
65,0.4654673687,cycle_jump_prediction
66,0.4726528339,cycle_jump_prediction
67,0.4798382991,cycle_jump_prediction
68,0.4870237643,cycle_jump_prediction
69,0.4942092295,cycle_jump_prediction
70,0.5013946947,cycle_jump_prediction
71,0.5085801599,cycle_jump_prediction
72,0.5157656251,cycle_jump_prediction
73,0.5229510902,cycle_jump_prediction
74,0.5301365554,cycle_jump_prediction
75,0.5373220206,cycle_jump_prediction
76,0.5445074858,cycle_jump_prediction
77,0.551692951,cycle_jump_prediction
78,0.5588784162,cycle_jump_prediction
79,0.5660638814,cycle_jump_prediction
80,0.5732493466,cycle_jump_prediction
81,0.5804348118,cycle_jump_prediction
82,0.587620277,cycle_jump_prediction
83,0.5948057422,cycle_jump_prediction
84,0.6019912073,cycle_jump_prediction
85,0.6091766725,cycle_jump_prediction
86,0.6163621377,cycle_jump_prediction
87,0.6235476029,cycle_jump_prediction
88,0.6307330681,cycle_jump_prediction
89,0.6379185333,cycle_jump_prediction
90,0.6451039985,cycle_jump_prediction
91,0.6522894637,cycle_jump_prediction
92,0.6594749289,cycle_jump_prediction
93,0.6666603941,cycle_jump_prediction
94,0.6738458592,cycle_jump_prediction
95,0.6810313244,cycle_jump_prediction
