cycle,SDV1_end,dSDV1_dN,d2SDV1_dN2,eta,JUMPMIN,JUMPMAX,curvature_tolerance,raw_DeltaN,recommended_DeltaN,first_second_order_relative_difference
3,0.01996727288,0.007189972326,1.0268297e-05,1,5,60,0.01,2,5,0.00229542721788
4,0.02715636604,0.007189093158,-8.79168e-07,1,5,60,0.01,3,5,0.000174156592309
5,0.0343443118,0.007187945768,-1.14739e-06,1,5,60,0.01,4,5,0.00020406304005
6,0.04153110832,0.007186796516,-1.149252e-06,1,5,60,0.01,5,5,0.000185446758444
7,0.04871675,0.007185641676,-1.15484e-06,1,5,60,0.01,6,6,0.000226363760961
8,0.05590124428,0.007184494287,-1.147389e-06,1,5,60,0.01,7,7,0.000264717154424
9,0.06308458745,0.007183343172,-1.151115e-06,1,5,60,0.01,8,8,0.000305560122285
10,0.07026678324,0.007182195783,-1.147389e-06,1,5,60,0.01,9,9,0.000344455151536
11,0.07744782418,0.007181040943,-1.15484e-06,1,5,60,0.01,10,10,0.000386859730304
12,0.08462772518,0.007179901004,-1.139939e-06,1,5,60,0.01,11,11,0.000421537359924
13,0.0918064788,0.007178753614,-1.14739e-06,1,5,60,0.01,12,12,0.000464239243326
14,0.09898408502,0.007177606225,-1.147389e-06,1,5,60,0.01,13,13,0.000504201336869
15,0.1061605439,0.007176458836,-1.147389e-06,1,5,60,0.01,14,14,0.000544178461263
16,0.1133358628,0.007175318897,-1.139939e-06,1,5,60,0.01,15,15,0.000580375907629
17,0.1205100343,0.007174171507,-1.14739e-06,1,5,60,0.01,16,16,0.000624173101694
18,0.1276830584,0.007173024118,-1.147389e-06,1,5,60,0.01,17,17,0.000664188537121
19,0.1348549426,0.007171884179,-1.139939e-06,1,5,60,0.01,18,18,0.000699643557937
20,0.1420256943,0.007170751691,-1.132488e-06,1,5,60,0.01,19,19,0.000734589072897
