kind,cycle,metric,restart_value,reference_value,error_pct
global_cycle_metric,750,U1_max,0.10000000149,0.10000000149,0
global_cycle_metric,750,U1_min,-0.10000000149,-0.10000000149,0
global_cycle_metric,750,RF1_max,2939.82440948,2939.82440948,0
global_cycle_metric,750,RF1_min,-3020.62918854,-3020.62918854,0
global_cycle_metric,750,loop_area_abs,568.153081977,568.153081977,0
primary_local_scalar,750,HOLE_RING_MISES_MAX,430.700698148,430.700698148,0
primary_local_scalar,750,HOLE_RING_S11_MAX_ABS,479.236755371,479.236755371,0
primary_local_scalar,750,HOLE_RING_SDV1_MAX,19.5627155304,19.5627155304,0
primary_local_scalar,750,HOLE_RING_SDV8_MAX,84.4680480957,84.4680480957,0
primary_local_scalar,750,HOLE_RING_SDV11_MAX,57.0726051331,57.0726051331,0
