case_id,job,oldjob,previous_cycle,checkpoint_cycle,checkpoint_inc,jump_cycles,jump_cycle,continuation_start_cycle,target_cycle,target_step
R3J1_250_to_255_to_500,stage16n_r3j1_jump_250_to_255_to_500_a4,stage16n_r1a_restart_ref_500cycles,100,250,58,5,255,251,500,251
R3J2_500_to_505_to_750,stage16n_r3j2_jump_500_to_505_to_750_a4,stage16n_r1a_restart_ref_500cycles,250,500,65,5,505,501,750,501
R3J3_250_to_260_to_500,stage16n_r3j3_jump_250_to_260_to_500,stage16n_r1a_restart_ref_500cycles,100,250,58,10,260,251,500,251
R3J4_500_to_510_to_750,stage16n_r3j4_jump_500_to_510_to_750,stage16n_r1a_restart_ref_500cycles,250,500,65,10,510,501,750,501
R3J5_250_to_270_to_500,stage16n_r3j5_jump_250_to_270_to_500,stage16n_r1a_restart_ref_500cycles,100,250,58,20,270,251,500,251
R3J6_500_to_520_to_750,stage16n_r3j6_jump_500_to_520_to_750,stage16n_r1a_restart_ref_500cycles,250,500,65,20,520,501,750,501
R3J7_250_to_300_to_500,stage16n_r3j7_jump_250_to_300_to_500,stage16n_r1a_restart_ref_500cycles,100,250,58,50,300,251,500,251
R3J8_500_to_550_to_750,stage16n_r3j8_jump_500_to_550_to_750,stage16n_r1a_restart_ref_500cycles,250,500,65,50,550,501,750,501
R4J1_250_to_300_solve_301_to_500,stage16n_r4j1_jump_250_to_300_solve_301_to_500,stage16n_r1a_restart_ref_500cycles,100,250,58,50,300,301,500,251
R4J2_500_to_550_solve_551_to_750,stage16n_r4j2_jump_500_to_550_solve_551_to_750,stage16n_r1a_restart_ref_500cycles,250,500,65,50,550,551,750,501
R4J3_250_to_270_solve_271_to_500,stage16n_r4j3_jump_250_to_270_solve_271_to_500,stage16n_r1a_restart_ref_500cycles,100,250,58,20,270,271,500,251
R4J4_500_to_520_solve_521_to_750,stage16n_r4j4_jump_500_to_520_solve_521_to_750,stage16n_r1a_restart_ref_500cycles,250,500,65,20,520,521,750,501
