kind,cycle,metric,jump_value,reference_value,error_pct
global_cycle_metric,500,U1_max,0.10000000149,0.10000000149,0
global_cycle_metric,500,U1_min,-0.10000000149,-0.10000000149,0
global_cycle_metric,500,RF1_max,2930.66098022,2896.65708923,1.1739012
global_cycle_metric,500,RF1_min,-3018.13587952,-3073.85819244,1.8127809
global_cycle_metric,500,loop_area_abs,567.884053827,575.24166737,1.2790474
primary_local_scalar,500,HOLE_RING_MISES_MAX,441.530609312,493.082414121,10.455008
primary_local_scalar,500,HOLE_RING_SDV1_MAX,11.7535400391,13.0502681732,9.9364099
primary_local_scalar,500,HOLE_RING_SDV8_MAX,78.3192062378,91.477432251,14.384123
primary_local_scalar,500,HOLE_RING_SDV11_MAX,53.0959625244,60.1659240723,11.750774
diagnostic_local_scalar,500,HOLE_RING_S11_MAX_ABS,485.588043213,536.128723145,9.4269674
