quantity,predicted_cycle499,exact_cycle499,absolute_error,relative_error,relative_error_percent,policy
STATEV1,3.58395926142,3.45635652542,0.127602736001,0.036918279426,3.6918279426,active_first_order_cycle_space
STATEV2,6.51731109634,-83.4835281372,90.0008392335,1.07806703001,107.806703001,active_first_order_cycle_space
STATEV3,-3.25865554812,41.7417640686,45.0004196167,1.07806703001,107.806703001,active_first_order_cycle_space
STATEV4,-3.25865554812,41.7417640686,45.0004196167,1.07806703001,107.806703001,active_first_order_cycle_space
STATEV5,9.26560024085e-14,3.15406554987e-16,9.23405958535e-14,292.766888936,29276.6888936,near_zero_predicted_flagged
STATEV6,1.41817692143e-14,1.21902853599e-15,1.29627406783e-14,10.6336646728,1063.36646728,near_zero_predicted_flagged
STATEV7,8.2253619007e-15,-1.87422111534e-15,1.0099583016e-14,5.3886827618,538.86827618,near_zero_predicted_flagged
STATEV8,-0.00254475534894,-0.00167175231036,0.000873003038578,0.522208363744,52.2208363744,active_first_order_cycle_space
STATEV9,0.00127237767447,0.000835876155179,0.000436501519289,0.522208363745,52.2208363745,active_first_order_cycle_space
STATEV10,0.00127237767447,0.000835876155179,0.000436501519289,0.522208363745,52.2208363745,active_first_order_cycle_space
STATEV11,-1.5922682831e-17,1.04611407896e-18,1.69687969099e-17,16.2207901138,1622.07901138,near_zero_predicted_flagged
STATEV12,-9.35271754978e-18,9.30510539642e-19,1.02832280894e-17,11.0511677744,1105.11677744,near_zero_predicted_flagged
STATEV13,-5.73855954685e-19,4.55380506818e-20,6.19394005367e-19,13.6016802672,1360.16802672,near_zero_predicted_flagged
STATEV14,32.8119204625,31.7418289185,1.07009154398,0.0337123467815,3.37123467815,recomputed_from_predicted_STATEV1
STATEV15,0,0,0,,,reset_to_zero_for_injection
S11,493.480244955,310.150787354,183.329457601,0.59109783072,59.109783072,first_order_cycle_space
S22,-5.82645043325e-13,-6.2172489379e-15,5.76427794387e-13,92.7142857146,9271.42857146,first_order_cycle_space
S33,-6.3090273746e-13,-7.1054273576e-15,6.23797310103e-13,87.7916666667,8779.16666667,first_order_cycle_space
S12,1.91405959601e-12,-7.55713483472e-15,1.92161673084e-12,254.278476284,25427.8476284,first_order_cycle_space
S13,-6.93524557492e-13,-9.44825055655e-15,6.84076306936e-13,72.4024307824,7240.24307824,first_order_cycle_space
S23,2.06264904403e-13,2.74670715616e-15,2.03518197247e-13,74.0953387735,7409.53387735,first_order_cycle_space
