cycle,frame_time,frame_time_error,step_name,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15,S11,S22,S33,S12,S13,S23,Delta_S11,Delta_S22,Delta_S33,Delta_S12,Delta_S13,Delta_S23,RIGHT_FACE_U1_AVG,RIGHT_FACE_RF1_SUM
1,0.990257799625,-0.0097422003746,CYCLIC_5000,0.00559759652242,-87.6441726685,43.8220863342,43.8220863342,-6.00697574837e-16,3.21102548479e-15,-2.13828700658e-15,-0.00178161333315,0.000890806666575,0.000890806666575,-8.06580402373e-20,7.61639812979e-20,-4.65579944926e-20,0.05596813187,0,,,,,,,,,,,,,,,,333.221618652,-7.9936057773e-15,-1.7763568394e-15,-3.12626357273e-15,1.00918161467e-14,4.44226776603e-15,,,,,,,-0.00194843753707,1332.88647461
2,1.99025785923,-0.00974214076996,CYCLIC_5000,0.0127773005515,-86.0254898071,43.0127449036,43.0127449036,9.33740262376e-16,1.78764491662e-15,-1.37213876574e-15,-0.00179731694516,0.000898658472579,0.000898658472579,-7.90942039943e-20,3.7569491271e-20,-2.94052763824e-20,0.127732202411,0,0.00717970402911,1.61868286133,-0.809341430664,-0.809341430664,1.53443783721e-15,-1.42338056817e-15,7.66148240837e-16,-1.57036120072e-05,7.8518060036e-06,7.8518060036e-06,1.56383624292e-21,-3.85944900268e-20,1.71527181102e-20,0.0717640705407,0,336.519378662,-2.44249065418e-15,-4.4408920985e-15,3.4283297757e-15,-2.68000926726e-15,1.62013362956e-15,3.29776000977,5.55111512313e-15,-2.6645352591e-15,6.55459334844e-15,-1.27718254139e-14,-2.82213413647e-15,-0.00194843753707,1346.07751465
3,2.99025774002,-0.00974225997925,CYCLIC_5000,0.0199672728777,-85.9814758301,42.990737915,42.990737915,-1.86374839171e-15,2.04561257926e-15,-2.29914761593e-15,-0.00179740961175,0.000898704805877,0.000898704805877,-6.19736461907e-20,1.63050821199e-20,-3.77592383448e-20,0.199573099613,0,0.00718997232616,0.0440139770508,-0.0220069885254,-0.0220069885254,-2.79748865408e-15,2.57967662647e-16,-9.27008850185e-16,-9.26665961742e-08,4.63332980871e-08,4.63332980871e-08,1.71205578036e-20,-2.12644091512e-20,-8.35396196246e-21,0.0718408972025,0,336.538818359,-9.32587340685e-15,-4.4408920985e-15,-4.48119082917e-15,1.10427944208e-14,5.93708561729e-15,0.0194396972656,-6.88338275268e-15,0,-7.90952060487e-15,1.37228036881e-14,4.31695198773e-15,-0.00194843753707,1346.15527344
4,3.99025774002,-0.00974225997925,CYCLIC_5000,0.0271563660353,-85.9751205444,42.9875602722,42.9875602722,2.22532279181e-15,3.1085894362e-15,-1.5233568794e-15,-0.00179713044781,0.000898565223906,0.000898565223906,-9.52826076036e-20,4.3203673282e-20,-3.83985556582e-20,0.271379381418,0,0.00718909315765,0.00635528564453,-0.00317764282227,-0.00317764282227,4.08907118352e-15,1.06297685693e-15,7.75790736523e-16,2.79163941741e-07,-1.3958197087e-07,-1.3958197087e-07,-3.33089614129e-20,2.68985911622e-20,-6.39317313347e-22,0.071806281805,0,336.480194092,-4.21884749358e-15,-6.2172489379e-15,3.46502054306e-15,-5.74946848121e-15,2.98737601713e-15,-0.0586242675781,5.10702591328e-15,-1.7763568394e-15,7.94621137223e-15,-1.6792262902e-14,-2.94970960016e-15,-0.00194843753707,1345.92077637
5,4.99025774002,-0.00974225997925,CYCLIC_5000,0.0343443118036,-85.9696578979,42.984828949,42.984828949,-2.9162855047e-15,2.85663185612e-15,-1.95489176065e-15,-0.00179684255272,0.000898421276361,0.000898421276361,-1.51653337029e-19,8.50282239322e-20,-2.91857211201e-20,0.34314841032,0,0.00718794576824,0.00546264648438,-0.00273132324219,-0.00273132324219,-5.14160829651e-15,-2.51957580075e-16,-4.31534881244e-16,2.87895090878e-07,-1.43947545439e-07,-1.43947545439e-07,-5.63707294259e-20,4.18245506502e-20,9.21283453808e-21,0.0717690289021,0,336.41973877,-4.21884749358e-15,-6.2172489379e-15,-1.33322663099e-14,-1.54945891568e-14,3.76536865881e-15,-0.0604553222656,0,0,-1.67972868529e-14,-9.74512067561e-15,7.77992641682e-16,-0.00194843753707,1345.67895508
6,5.99025774002,-0.00974225997925,CYCLIC_5000,0.0415311083198,-85.9642181396,42.9821090698,42.9821090698,-6.37229341537e-16,3.59104021236e-15,-1.87306725835e-15,-0.00179655465763,0.000898277328815,0.000898277328815,-1.41212736847e-19,9.16821165793e-20,-3.36270757702e-20,0.414880156517,0,0.00718679651618,0.00543975830078,-0.00271987915039,-0.00271987915039,2.27905616316e-15,7.34408356241e-16,8.18245022937e-17,2.87895090878e-07,-1.43947545439e-07,-1.43947545439e-07,1.04406001824e-20,6.65389264714e-21,-4.44135465008e-21,0.0717317461967,0,336.359313965,7.9936057773e-15,1.7763568394e-15,8.7380065167e-15,-1.07542415035e-14,8.94684541972e-15,-0.0604248046875,1.22124532709e-14,7.9936057773e-15,2.20702728266e-14,4.74034765328e-15,5.18147676091e-15,-0.00194843753707,1345.43725586
7,6.99025774002,-0.00974225997925,CYCLIC_5000,0.0487167499959,-85.9587783813,42.9793891907,42.9793891907,2.15977328438e-15,3.24273726013e-15,-1.80259718971e-15,-0.00179626699537,0.000898133497685,0.000898133497685,-1.46975794648e-19,9.96304627736e-20,-4.2348154943e-20,0.486574649811,0,0.00718564167619,0.00543975830078,-0.00271987915039,-0.00271987915039,2.79700262592e-15,-3.48302952231e-16,7.04700686492e-17,2.87662260234e-07,-1.43831130117e-07,-1.43831130117e-07,-5.76305780054e-21,7.94834619428e-21,-8.72107917277e-21,0.0716944932938,0,336.29888916,-4.21884749358e-15,-3.5527136788e-15,3.60354801702e-16,3.38492230177e-15,5.66926307702e-15,-0.0604248046875,-1.22124532709e-14,-5.3290705182e-15,-8.377651715e-15,1.41391638053e-14,-3.2775823427e-15,-0.00194843753707,1345.19555664
8,7.99025774002,-0.00974225997925,CYCLIC_5000,0.0559012442827,-85.953338623,42.9766693115,42.9766693115,5.60612533378e-15,1.4189345187e-15,-1.90988945272e-15,-0.00179597956594,0.00089798978297,0.00089798978297,2.56091078679e-20,7.99597346065e-20,-2.57819520632e-20,0.558231890202,0,0.00718449428678,0.00543975830078,-0.00271987915039,-0.00271987915039,3.4463520494e-15,-1.82380274143e-15,-1.07292263012e-16,2.87429429591e-07,-1.43714714795e-07,-1.43714714795e-07,1.72584902515e-19,-1.96707281671e-20,1.65662028797e-20,0.0716572403908,0,336.238494873,-6.66133814775e-15,-1.42108547152e-14,6.55580366587e-15,-7.88144755072e-15,5.85802840596e-15,-0.0603942871094,-2.44249065418e-15,-1.06581410364e-14,6.19544886417e-15,-1.12663698525e-14,1.88765328937e-16,-0.00194843753707,1344.95397949
9,8.99025821686,-0.00974178314209,CYCLIC_5000,0.0630845874548,-85.9478988647,42.9739494324,42.9739494324,-1.18369301473e-15,1.75008635077e-15,-1.95881749366e-15,-0.00179569213651,0.000897846068256,0.000897846068256,-3.88749862455e-20,8.48075379609e-20,-1.98715513024e-20,0.629851996899,0,0.00718334317207,0.00543975830078,-0.00271987915039,-0.00271987915039,-6.7898183485e-15,3.31151832068e-16,-4.89280409437e-17,2.87429429591e-07,-1.43714714795e-07,-1.43714714795e-07,-6.44840941134e-20,4.84780335441e-21,5.91040076079e-21,0.0716201066971,0,336.178161621,4.21884749358e-15,-4.4408920985e-15,-1.51779336915e-14,-3.17859193149e-15,1.70490781035e-15,-0.0603332519531,1.08801856413e-14,9.7699626167e-15,-2.17337373573e-14,4.70285561922e-15,-4.1531205956e-15,-0.00194843753707,1344.71264648
10,9.99025821686,-0.00974178314209,CYCLIC_5000,0.0702667832375,-85.9424591064,42.9712295532,42.9712295532,-6.9844090208e-16,2.98544696576e-15,-2.05308747297e-15,-0.00179540505633,0.000897702528164,0.000897702528164,-1.86780511707e-19,1.07335234267e-19,-2.44420561899e-20,0.701434910297,0,0.00718219578266,0.00543975830078,-0.00271987915039,-0.00271987915039,4.85252112646e-16,1.23536061499e-15,-9.4269979308e-17,2.87080183625e-07,-1.43540091813e-07,-1.43540091813e-07,-1.47905525461e-19,2.2527696306e-20,-4.57050488751e-21,0.0715829133987,0,336.117858887,-1.66533453694e-14,-1.33226762955e-14,-1.35372205693e-14,2.36025730752e-18,2.85370546648e-15,-0.060302734375,-2.0872192863e-14,-8.881784197e-15,1.64071312219e-15,3.1809521888e-15,1.14879765612e-15,-0.00194843753707,1344.47143555
