block_id,base_cycle,target_cycle,recovery_end_cycle,DeltaN,raw_formula_DeltaN,m_STATEV1,c_STATEV1,estimated_local_error_STATEV1_percent,base_STATEV1,predicted_target_STATEV1,recovered_end_STATEV1,final_status,block_final_s11_error_pct,block_final_rf1_error_pct,case_dir
1,10,35,45,25,19,0.00718564433711,-1.10361725167e-06,0.138003001365,0.0702667832375,0.249907891665,0.321219146252,accepted_exploratory_success,12.2487901452,12.2487901452,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block01_base10_target35_to45
2,45,70,80,25,31,0.00714677146503,-1.11262003667e-06,0.0695542722317,0.321219146252,0.499888432878,0.570977926254,accepted_exploratory_success,12.3229637399,12.3229637403,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block02_base45_target70_to80
3,80,106,116,26,38,0.00710781982967,-1.12255414333e-06,0.0502027940691,0.570977926254,0.755781241825,0.826469421387,accepted_exploratory_success,12.3985046805,12.3985046809,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block03_base80_target106_to116
4,116,148,158,32,46,0.00706851482391,-1.07288360667e-06,0.0521835556915,0.826469421387,1.05266189575,1.12290227413,accepted_exploratory_success,12.4853920501,12.4853920497,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block04_base116_target148_to158
5,158,195,205,37,53,0.00702376025064,-1.05301539167e-06,0.0521260290182,1.12290227413,1.3827814034,1.45253384113,accepted_exploratory_success,12.5812576564,12.5812576566,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block05_base158_target195_to205
6,205,246,256,41,59,0.00697502068111,-1.05301539167e-06,0.0509090885295,1.45253384113,1.73850968906,1.80773937702,accepted_exploratory_success,12.6855946175,12.6855946175,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block06_base205_target246_to256
7,256,302,312,46,66,0.00692272186279,-1.03314717667e-06,0.0514099162322,1.80773937702,2.12618458271,2.19484901428,accepted_exploratory_success,12.800147465,12.8001474648,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block07_base256_target302_to312
8,312,363,373,51,73,0.00686618259975,-9.93410748333e-07,0.0507629991811,2.19484901428,2.54502432687,2.61309313774,accepted_exploratory_success,12.9229833051,12.9229833051,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block08_base312_target363_to373
9,373,429,439,56,81,0.00680661201477,-9.53674318333e-07,0.0499408744691,2.61309313774,2.99426341057,3.06171011925,accepted_exploratory_success,13.0537190986,13.053719099,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block09_base373_target429_to439
10,439,502,512,63,91,0.00674435070583,-8.74201456667e-07,0.0497576634575,3.06171011925,3.48660421372,3.55338859558,accepted_exploratory_success,13.1956348995,13.1956348999,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block10_base439_target502_to512
11,512,578,588,66,95,0.00667810440063,-9.13937885e-07,0.0498368854423,3.55338859558,3.99414348602,4.06026601791,accepted_exploratory_success,13.3407637289,13.3407637286,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block11_base512_target578_to588
12,588,660,670,72,104,0.00661189215524,-8.74201456667e-07,0.0499508202738,4.06026601791,4.53632225309,4.60176086426,accepted_exploratory_success,13.4941724818,13.4941724822,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block12_base588_target660_to670
13,670,747,757,77,110,0.00654350008283,-8.74201456667e-07,0.0507592634407,4.60176086426,5.10561037064,5.17035484314,accepted_exploratory_success,13.6534829542,13.6534829539,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block13_base670_target747_to757
14,757,842,852,85,122,0.00647415433611,-7.94728598333e-07,0.0501857842349,5.17035484314,5.72065796171,5.78468084335,accepted_exploratory_success,13.8232598059,13.8232598057,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block14_base757_target842_to852
15,852,947,957,95,136,0.00640201568604,-7.15255735e-07,0.0504873449023,5.78468084335,6.39287233352,6.456138134,accepted_exploratory_success,14.0057237485,14.0057237481,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block15_base852_target947_to957
16,957,1051,1061,94,135,0.00632640293666,-7.94728596667e-07,0.0497971999721,6.456138134,7.05082001005,7.11336803436,accepted_exploratory_success,14.1823872961,14.1823872961,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block16_base957_target1051_to1061
17,1061,1166,1176,105,150,0.00625460488456,-7.15255738333e-07,0.0507438317709,7.11336803436,7.77010154724,7.83187675476,accepted_exploratory_success,14.3793545284,14.3793545282,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block17_base1061_target1166_to1176
18,1176,1281,1291,105,150,0.00617722102574,-7.15255736667e-07,0.046493181296,7.83187675476,8.48048496246,8.54152870178,accepted_exploratory_success,14.5726523714,14.5726523718,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block18_base1176_target1281_to1291
19,1291,1396,1406,105,150,0.00610406058175,-6.35782876667e-07,0.0381679309469,8.54152870178,9.18245506286,9.24280738831,accepted_exploratory_success,14.75321183,14.7532118298,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block19_base1291_target1396_to1406
20,1406,1511,1521,105,150,0.00603485107422,-4.76837158333e-07,0.0266144249918,9.24280738831,9.8764667511,9.93640327454,accepted_exploratory_success,15.0162158686,15.0162158691,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block20_base1406_target1511_to1521
21,1521,1558,1568,37,53,0.00598771231515,-7.15255737333e-06,0.0481979748105,9.93640327454,10.1579486302,10.2174482346,accepted_exploratory_success,8.1890606345,8.1890606341,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block21_base1521_target1558_to1568
22,1568,1593,1603,25,14,0.00585842132568,-9.50495402017e-05,0.286600181251,10.2174482346,10.3639087677,10.4590616226,accepted_exploratory_success,10.3432808795,10.3432808801,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block22_base1568_target1593_to1603
23,1603,1628,1638,25,4,0.00784846714564,-0.00094620386759,2.77504574742,10.4590616226,10.6552733012,10.9877710342,not_accepted,9.37004671278,9.37004671298,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block23_base1603_target1628_to1638
24,1638,1663,1673,25,2,0.0315156664167,-0.00354560216269,9.40924264369,10.9877710342,11.7756626946,12.2103290558,not_accepted,11.2647572457,11.2647572453,/home/pr21vyci/master_thesis/Abaqus_trial/runs/chaboche_umat/stage14b_adaptive_deltaN_2000cycles/strategy_adaptive/block24_base1638_target1663_to1673
