case_id,case_group,config_name,LOCAL_TOL,SAFETY_FACTOR,DN_MIN,DN_MAX,RECOVERY_WINDOW,prediction_order,deltaN_control_variables,injection_mode,rollback_enabled,final_cycle,final_STATEV1,reference_STATEV1,final_statev1_error_pct,final_S11,reference_S11,final_s11_error_pct,final_RIGHT_FACE_RF1_SUM,reference_RIGHT_FACE_RF1_SUM,final_rf1_error_pct,outcome,number_of_blocks,solved_recovery_cycles,skipped_cycles,effective_speedup_estimate,first_failed_block,first_failed_base_cycle,first_failed_target_cycle,first_failed_recovery_end_cycle,max_m_STATEV1,max_c_STATEV1,notes
B1,B,B1,0.001,0.7,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.859828949,12.6968250275,1.283816396,300.063262939,300.884613037,0.272978431584,1200.25305176,1203.53845215,0.27297843175,not_accepted,43,429,1518,4.55580865604,35,1829,1839,1849,0.00718564433711,0.000118414560953,updated_after_block_43
B2,B,B2,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 1 analysis failed
B3,B,B3,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 1 analysis failed
B4,B,B4,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 1 analysis failed
C1,C,C1,0.001,0.7,1,25,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7558097839,12.6968250275,0.464563040822,300.214691162,300.884613037,0.222650759083,1200.85876465,1203.53845215,0.222650759249,accepted_clean_success,77,761,1152,2.59403372244,,,,,0.00718564433711,0.000118096669515,updated_after_block_77
C2,C,C2,0.001,0.7,1,50,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8956155777,12.6968250275,1.56567133726,299.88381958,300.884613037,0.332617027777,1199.53527832,1203.53845215,0.332617027943,not_accepted,65,647,1278,3.04414003044,49,1671,1681,1691,0.00718564433711,0.000109831492105,updated_after_block_65
C3,C,C3,0.001,0.7,1,75,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.892165184,12.6968250275,1.53849608936,299.897186279,300.884613037,0.328174560918,1199.58874512,1203.53845215,0.328174561083,not_accepted,57,567,1366,3.46620450607,42,1691,1701,1711,0.00718564433711,0.000110944112142,updated_after_block_57
C4,C,C4,0.001,0.7,1,100,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8804311752,12.6968250275,1.44607921535,299.853179932,300.884613037,0.342800216651,1199.41271973,1203.53845215,0.342800216816,not_accepted,51,504,1435,3.89105058366,38,1736,1746,1756,0.00718564433711,0.000117937723795,updated_after_block_51
C5,C,C5,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 1 analysis failed
C6,C,C6,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 1 analysis failed
D1,D,D1,,,,,,,,,,,,,,,,,,,,runtime_error,,,,,,,,,,,analysis: block 32 analysis failed
