case_id,case_group,config_name,LOCAL_TOL,SAFETY_FACTOR,DN_MIN,DN_MAX,RECOVERY_WINDOW,prediction_order,deltaN_control_variables,injection_mode,rollback_enabled,final_cycle,final_STATEV1,reference_STATEV1,final_statev1_error_pct,final_S11,reference_S11,final_s11_error_pct,final_RIGHT_FACE_RF1_SUM,reference_RIGHT_FACE_RF1_SUM,final_rf1_error_pct,outcome,number_of_blocks,solved_recovery_cycles,skipped_cycles,effective_speedup_estimate,first_failed_block,first_failed_base_cycle,first_failed_target_cycle,first_failed_recovery_end_cycle,max_m_STATEV1,max_c_STATEV1,notes
D4F01,D,D4F01,0.001,0.46,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7886257172,12.6968250275,0.723020829729,300.619262695,300.884613037,0.0881900669526,1202.47705078,1203.53845215,0.0881900671187,accepted_clean_success,56,555,1379,3.53982300885,,,,,0.00718564433711,4.784266154e-05,updated_after_block_56
D4F02,D,D4F02,0.001,0.47,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7932510376,12.6968250275,0.75944978283,300.470916748,300.884613037,0.137493334996,1201.88366699,1203.53845215,0.137493335162,accepted_clean_success,57,566,1367,3.47222222222,,,,,0.00718564433711,5.1657358805e-05,updated_after_block_57
D4F03,D,D4F03,0.001,0.48,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7959108353,12.6968250275,0.780398308644,300.621002197,300.884613037,0.0876119377038,1202.48400879,1203.53845215,0.0876119378699,accepted_clean_success,54,539,1397,3.64298724954,,,,,0.00718564433711,5.4359436035e-05,updated_after_block_54
D4F04,D,D4F04,0.001,0.49,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7964477539,12.6968250275,0.784627071654,300.612915039,300.884613037,0.0902997315799,1202.45166016,1203.53845215,0.0902997317459,accepted_clean_success,54,535,1401,3.66972477064,,,,,0.00718564433711,5.19752502433e-05,updated_after_block_54
D4F05,D,D4F05,0.001,0.5,1,175,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8080244064,12.6968250275,0.875804610147,300.352203369,300.884613037,0.176948120572,1201.40881348,1203.53845215,0.176948120738,accepted_clean_success,55,542,1393,3.6231884058,,,,,0.00718564433711,5.88099161783e-05,updated_after_block_55
D4F06,D,D4F06,0.001,0.5,1,200,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8080244064,12.6968250275,0.875804610147,300.352203369,300.884613037,0.176948120572,1201.40881348,1203.53845215,0.176948120738,accepted_clean_success,55,542,1393,3.6231884058,,,,,0.00718564433711,5.88099161783e-05,updated_after_block_55
D4F07,D,D4F07,0.001,0.52,1,125,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8100728989,12.6968250275,0.891938505252,300.469726562,300.884613037,0.137888897113,1201.87890625,1203.53845215,0.137888897279,accepted_clean_success,56,557,1377,3.52733686067,,,,,0.00718564433711,5.78562418617e-05,updated_after_block_56
D4F08,D,D4F08,0.001,0.52,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8079595566,12.6968250275,0.875293853691,300.484130859,300.884613037,0.133101581228,1201.93652344,1203.53845215,0.133101581394,accepted_clean_success,54,537,1399,3.6563071298,,,,,0.00718564433711,5.578994751e-05,updated_after_block_54
D4F09,D,D4F09,0.001,0.54,1,100,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8208732605,12.6968250275,0.977001988524,300.593048096,300.884613037,0.0969025761583,1202.37219238,1203.53845215,0.0969025763243,accepted_clean_success,58,577,1355,3.40715502555,,,,,0.00718564433711,6.5008799235e-05,updated_after_block_58
D4F10,D,D4F10,0.001,0.54,1,125,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8169250488,12.6968250275,0.945905933712,300.222351074,300.884613037,0.220104961865,1200.8894043,1203.53845215,0.22010496203,accepted_clean_success,55,542,1393,3.6231884058,,,,,0.00718564433711,6.7710876465e-05,updated_after_block_55
RW01,R,RW01,0.001,0.6,1,15,5,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.806854248,12.6968250275,0.866588460568,300.874725342,300.884613037,0.00328620832529,1203.49890137,1203.53845215,0.00328620849146,accepted_clean_success,174,866,950,2.28310502283,,,,,0.00719945877791,0.00016784667969,updated_after_block_174
RW02,R,RW02,0.001,0.6,1,20,5,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.8344507217,12.6968250275,1.0839378659,300.459747314,300.884613037,0.14120553333,1201.83898926,1203.53845215,0.141205533496,not_accepted,176,876,938,2.25733634312,171,1944,1950,1955,0.00721212476492,0.000519434611003,updated_after_block_176
RW03,R,RW03,0.0005,0.6,1,25,5,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7801332474,12.6968250275,0.656134267386,300.568603516,300.884613037,0.105026813497,1202.27441406,1203.53845215,0.105026813663,accepted_clean_success,193,962,835,2.05761316872,,,,,0.00721278786659,0.000165780385337,updated_after_block_193
RW04,R,RW04,0.00025,0.6,1,25,5,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,787,5.36746549606,5.34715080261,0.379916224605,338.481750488,297.690460205,13.7025856506,1353.92700195,1190.76184082,13.7025856506,in_progress,87,435,255,4.49438202247,,,,,0.00719528645277,0.000130494435627,updated_after_block_87
SB_s045_d100,S,SB_s045_d100,0.001,0.45,1,100,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7830953598,12.6968250275,0.679463819619,300.433502197,300.884613037,0.149928185154,1201.73400879,1203.53845215,0.14992818532,accepted_clean_success,61,610,1319,3.22580645161,,,,,0.00718564433711,4.68889872233e-05,updated_after_block_61
SB_s045_d125,S,SB_s045_d125,0.001,0.45,1,125,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7823343277,12.6968250275,0.673469942388,300.614990234,300.884613037,0.0896100335287,1202.45996094,1203.53845215,0.0896100336947,accepted_clean_success,58,580,1352,3.38983050847,,,,,0.00718564433711,4.86373901367e-05,updated_after_block_58
SB_s045_d150,S,SB_s045_d150,0.001,0.45,1,150,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.7817430496,12.6968250275,0.66881304529,300.620727539,300.884613037,0.0877032212694,1202.48291016,1203.53845215,0.0877032214355,accepted_clean_success,56,560,1374,3.50877192982,,,,,0.00718564433711,4.41869099933e-05,updated_after_block_56
SB_s045_d175,S,SB_s045_d175,0.001,0.45,1,175,10,first_order,STATEV1_only,full_STATEV_plus_predicted_stress,false,2000,12.781662941,12.6968250275,0.668182110845,300.628662109,300.884613037,0.0850661404854,1202.51464844,1203.53845215,0.0850661406514,accepted_clean_success,56,551,1383,3.56506238859,,,,,0.00718564433711,4.84784444167e-05,updated_after_block_56
