case_name,base_cycle,target_cycle,jump_size,method,strain_range_reference,predicted_strain_mean,reference_strain_mean,strain_mean_normalized_error_percent,predicted_ratcheting_strain,reference_ratcheting_strain,ratcheting_strain_normalized_error_percent,predicted_strain_max,reference_strain_max,strain_max_normalized_error_percent,max_normalized_error_percent,drift_direction_ok,finite,accepted,requested_target_cycle,adaptive_candidate
B1_stress_m150_to_250,500,1000,500,local_linear,0.0032863777785333,0.054886836817987256,0.0548718457286801,0.4561584308742584,0.040916878407775505,0.0409018873184656,0.4561584309578703,0.05652670301837105,0.0565150346179468,0.35505353342132273,0.4561584309578703,True,True,True,1000,False
B1_stress_m150_to_250,500,750,250,local_linear,0.003286420930718,0.04556741039833068,0.0455609827638241,0.19558159596954913,0.0315974519881176,0.0315910243536096,0.19558159601283248,0.04720920680521843,0.0472041932291831,0.15255428750672434,0.19558159601283248,True,True,True,1000,True
B1_stress_m150_to_250,500,625,125,local_linear,0.0032865972149862,0.04090769718850239,0.0409052734035036,0.07374755226279738,0.02693773877828865,0.0269353149932892,0.07374755228296001,0.042550458698642116,0.0425485720109967,0.05740550246952942,0.07374755228296001,True,True,True,1000,True
B1_stress_m150_to_250,500,562,62,local_linear,0.0032868667307962,0.03855920173074893,0.0385583299316167,0.026523714030048304,0.02458924332053486,0.0245883715214023,0.02652371404018157,0.04020244965292765,0.0402017632970148,0.020881768841333172,0.02652371404018157,True,True,True,1000,True
B1_stress_m150_to_250,500,531,31,local_linear,0.0032871028374072,0.037403592854711516,0.0374032919013557,0.009155580786665458,0.023433634444497278,0.0234333334911413,0.009155580791520632,0.039047080122496726,0.0390468433200593,0.007203986280195908,0.009155580791520632,True,True,True,1000,True
B1_stress_m150_to_250,500,515,15,local_linear,0.0032872660681785,0.03680714956385349,0.0368070480291165,0.003088728897520295,0.022837191153639174,0.0228370896189021,0.0030887289001588453,0.03845076036485496,0.0384506810632058,0.002412389125563989,0.0030887289001588453,True,True,True,1000,True
B1_stress_m150_to_250,500,507,7,local_linear,0.0032873610305235,0.03650892791842448,0.0365088904398174,0.001140081869041139,0.022538969508210122,0.022538932029603,0.0011400818703076066,0.038152600486034076,0.0381525709550792,0.0008983179699978896,0.0011400818703076066,True,True,True,1000,True
B1_stress_m150_to_250,500,503,3,local_linear,0.0032874128324206,0.03635981709570998,0.0363598036217423,0.0004098653976409958,0.022389858685495593,0.0223898452115279,0.00040986539806314503,0.038003520546623634,0.0380035100379526,0.0003196638686168821,0.00040986539806314503,True,True,True,1000,True
B1_stress_m150_to_250,500,501,1,local_linear,0.0032874395493811,0.036285261684352726,0.036285258066987,0.00011003596178934856,0.02231530327413833,0.0223152996567726,0.00011003596200042145,0.03792898057691841,0.0379289778416776,8.320277135253461e-05,0.00011003596200042145,True,True,True,1000,True
B1_stress_m150_to_250,500,1000,500,least_squares_local_linear,0.0032863777785333,0.05489897071868147,0.0548718457286801,0.8253765035337712,0.040929012308467023,0.0409018873184656,0.8253765035354604,0.05653601987788027,0.0565150346179468,0.6385528794208613,0.8253765035354604,True,True,True,1000,False
B1_stress_m150_to_250,500,750,250,least_squares_local_linear,0.003286420930718,0.04557347734867778,0.0455609827638241,0.3801882082996412,0.03160351893846337,0.0315910243536096,0.38018820830217487,0.04721386523497304,0.0472041932291831,0.2943020992696489,0.38018820830217487,True,True,True,1000,True
B1_stress_m150_to_250,500,625,125,least_squares_local_linear,0.0032865972149862,0.04091073066367594,0.0409052734035036,0.1660459075258267,0.02694077225346153,0.0269353149932892,0.16604590752551004,0.04255278791351942,0.0425485720109967,0.1282756068645863,0.1660459075258267,True,True,True,1000,True
B1_stress_m150_to_250,500,562,62,least_squares_local_linear,0.0032868667307962,0.03856070633443501,0.0385583299316167,0.0722999443828748,0.02459074792422061,0.0245883715214023,0.07229994438298036,0.0402036049435068,0.0402017632970148,0.05603045827015306,0.07229994438298036,True,True,True,1000,True
B1_stress_m150_to_250,500,531,31,least_squares_local_linear,0.0032871028374072,0.03740434515655455,0.0374032919013557,0.03204205195133927,0.023434386746340154,0.0234333334911413,0.03204205195133927,0.0390476577677863,0.0390468433200593,0.024777068661427877,0.03204205195133927,True,True,True,1000,True
B1_stress_m150_to_250,500,515,15,least_squares_local_linear,0.0032872660681785,0.03680751358087432,0.0368070480291165,0.014162277958719067,0.02283755517065992,0.0228370896189021,0.014162277958719067,0.03845103987064024,0.0384506810632058,0.010915071277953691,0.014162277958719067,True,True,True,1000,True
B1_stress_m150_to_250,500,507,7,least_squares_local_linear,0.0032873610305235,0.0365090977930342,0.0365088904398174,0.006307588818899396,0.022539139382819803,0.022538932029603,0.0063075888190049344,0.0381527309220672,0.0381525709550792,0.004866121685991423,0.0063075888190049344,True,True,True,1000,True
B1_stress_m150_to_250,500,503,3,least_squares_local_linear,0.0032874128324206,0.036359889899114144,0.0363598036217423,0.0026244763357132408,0.022389931488899745,0.0223898452115279,0.0026244763357132408,0.03800357644778069,0.0380035100379526,0.0020201243798798267,0.0026244763357132408,True,True,True,1000,True
B1_stress_m150_to_250,500,501,1,least_squares_local_linear,0.0032874395493811,0.03628528595215411,0.036285258066987,0.0008482336083756757,0.022315327541939715,0.0223152996567726,0.0008482336084812121,0.037928999210637436,0.0379289778416776,0.000650018335447533,0.0008482336084812121,True,True,True,1000,True
B1_stress_m150_to_250,500,1000,500,power_law_fit,0.0032863777785333,0.04960458207834267,0.0548718457286801,160.2756592605794,0.03879689465343532,0.0409018873184656,64.05205995427988,0.05105882819744503,0.0565150346179468,166.02493043075685,166.02493043075685,True,True,False,1000,False
B1_stress_m150_to_250,500,750,250,power_law_fit,0.003286420930718,0.04354690787122804,0.0455609827638241,61.284751255404146,0.030815718467879595,0.0315910243536096,23.591192427094917,0.04511216527241969,0.0472041932291831,63.65672568627292,63.65672568627292,True,True,False,1000,True
B1_stress_m150_to_250,500,625,125,power_law_fit,0.0032865972149862,0.04009808405059843,0.0409052734035036,24.56003276655121,0.02663200535996441,0.0269353149932892,9.228682843816735,0.04170855643094931,0.0425485720109967,25.55882346084562,25.55882346084562,True,True,False,1000,True
B1_stress_m150_to_250,500,562,62,power_law_fit,0.0032868667307962,0.03821614379687029,0.0385583299316167,10.410709127337197,0.024461604443776354,0.0245883715214023,3.8567757079472322,0.03984524978274403,0.0402017632970148,10.846606919910437,10.846606919910437,True,True,False,1000,True
B1_stress_m150_to_250,500,531,31,power_law_fit,0.0032871028374072,0.037247746798524675,0.0374032919013557,4.731981642342297,0.0233761284067298,0.0234333334911413,1.7402888574250381,0.03888468491394778,0.0390468433200593,4.9331710668178905,4.9331710668178905,True,True,False,1000,True
B1_stress_m150_to_250,500,515,15,power_law_fit,0.0032872660681785,0.036735839013344596,0.0368070480291165,2.1662078546433183,0.02281099905517569,0.0228370896189021,0.79368579194045,0.03837642000683281,0.0384506810632058,2.259052198173217,2.259052198173217,True,True,False,1000,True
B1_stress_m150_to_250,500,507,7,power_law_fit,0.0032873610305235,0.036476629244698085,0.0365088904398174,0.9813706136857676,0.022527134808918138,0.022538932029603,0.3588659893247251,0.03811892150392137,0.0381525709550792,1.0236007194035355,1.0236007194035355,True,True,False,1000,True
B1_stress_m150_to_250,500,503,3,power_law_fit,0.0032874128324206,0.03634618728971149,0.0363598036217423,0.4141959870850968,0.02238487066397663,0.0223898452115279,0.15132104803551996,0.037989306507136625,0.0380035100379526,0.43205802069931903,0.43205802069931903,True,True,True,1000,True
B1_stress_m150_to_250,500,501,1,power_law_fit,0.0032874395493811,0.03628075404761541,0.036285258066987,0.13700691081720417,0.022313654665849843,0.0223152996567726,0.05003866681184438,0.037924279427687814,0.0379289778416776,0.1429201638298978,0.1429201638298978,True,True,True,1000,True
B1_stress_m150_to_250,500,1000,500,log_cycle_fit,0.0032863777785333,0.046447132324062876,0.0548718457286801,256.3525550728725,0.03247717391384851,0.0409018873184656,256.3525550728685,0.0480829070583377,0.0565150346179468,256.5781577117507,256.5781577117507,True,True,False,1000,False
B1_stress_m150_to_250,500,750,250,log_cycle_fit,0.003286420930718,0.04221410330001876,0.0455609827638241,101.83964666614175,0.02824414488980438,0.0315910243536096,101.83964666613826,0.04385317836231683,0.0472041932291831,101.9654796969103,101.9654796969103,True,True,False,1000,True
B1_stress_m150_to_250,500,625,125,log_cycle_fit,0.0032865972149862,0.039531376374978694,0.0409052734035036,41.80302418136968,0.02556141796476431,0.0269353149932892,41.80302418136926,0.041172543055075526,0.0425485720109967,41.867891497223056,41.867891497223056,True,True,False,1000,True
B1_stress_m150_to_250,500,562,62,log_cycle_fit,0.0032868667307962,0.03796798911660702,0.0385583299316167,17.96059479620816,0.02399803070639264,0.0245883715214023,17.96059479620763,0.039610374708917935,0.0402017632970148,17.99247236147028,17.99247236147028,True,True,False,1000,True
B1_stress_m150_to_250,500,531,31,log_cycle_fit,0.0032871028374072,0.037133104483528565,0.0374032919013557,8.219621690943216,0.02316314607331418,0.0234333334911413,8.219621690942793,0.0387761410029026,0.0390468433200593,8.235285920358544,8.235285920358544,True,True,False,1000,True
B1_stress_m150_to_250,500,515,15,log_cycle_fit,0.0032872660681785,0.03668291990199414,0.0368070480291165,3.776029215400345,0.022712961491779756,0.0228370896189021,3.7760292153998174,0.03832630741276976,0.0384506810632058,3.7834981366433413,3.7834981366433413,True,True,False,1000,True
B1_stress_m150_to_250,500,507,7,log_cycle_fit,0.0032873610305235,0.03645255495036279,0.0365088904398174,1.7136994973029216,0.02248259654014839,0.022538932029603,1.7136994973029216,0.0380961220677277,0.0381525709550792,1.7171490088056793,1.7171490088056793,True,True,False,1000,True
B1_stress_m150_to_250,500,503,3,log_cycle_fit,0.0032874128324206,0.03633600574109802,0.0363598036217423,0.7239090998727955,0.022366047330883623,0.0223898452115279,0.7239090998727955,0.03797966372734648,0.0380035100379526,0.7253822936670716,0.7253822936670716,True,True,True,1000,True
B1_stress_m150_to_250,500,501,1,log_cycle_fit,0.0032874395493811,0.036277383110810246,0.036285258066987,0.23954679800078382,0.022307424700595862,0.0223152996567726,0.23954679800025616,0.03792108680284254,0.0379289778416776,0.24003601333267816,0.24003601333267816,True,True,True,1000,True
B1_stress_m150_to_250,500,1000,500,quadratic_curvature_limited,0.0032863777785333,0.05504648488425961,0.0548718457286801,5.314031658814731,0.04107652647404532,0.0409018873184656,5.314031658821065,0.056649621149589574,0.0565150346179468,4.09528486109844,5.314031658821065,True,True,False,1000,False
B1_stress_m150_to_250,500,750,250,quadratic_curvature_limited,0.003286420930718,0.04569473032887113,0.0455609827638241,4.0697028124697985,0.031724771918656816,0.0315910243536096,4.069702812475499,0.047307230328399924,0.0472041932291831,3.1352374327262917,4.069702812475499,True,True,False,1000,True
B1_stress_m150_to_250,500,625,125,quadratic_curvature_limited,0.0032865972149862,0.04098323112812368,0.0409052734035036,2.3719890062771216,0.027013272717909334,0.0269353149932892,2.371989006278705,0.04260861157462592,0.0425485720109967,1.826800173609641,2.371989006278705,True,True,False,1000,True
B1_stress_m150_to_250,500,562,62,quadratic_curvature_limited,0.0032868667307962,0.038599634868405265,0.0385583299316167,1.256666003569812,0.024629676458190898,0.0245883715214023,1.2566660035708677,0.04023357861175606,0.0402017632970148,0.9679526840308349,1.2566660035708677,True,True,False,1000,True
B1_stress_m150_to_250,500,531,31,quadratic_curvature_limited,0.0032871028374072,0.03742453972045817,0.0374032919013557,0.6463995850898054,0.023454581310243788,0.0234333334911413,0.6463995850902277,0.03906320681701056,0.0390468433200593,0.4978090969664801,0.6463995850902277,True,True,True,1000,True
B1_stress_m150_to_250,500,515,15,quadratic_curvature_limited,0.0032872660681785,0.03681746752829952,0.0368070480291165,0.3169654955490859,0.02284750911808513,0.0228370896189021,0.31696549554940245,0.03845870401165292,0.0384506810632058,0.24406142614313703,0.31696549554940245,True,True,True,1000,True
B1_stress_m150_to_250,500,507,7,quadratic_curvature_limited,0.0032873610305235,0.036513785524823365,0.0365088904398174,0.14890621871202983,0.022543827114608974,0.022538932029603,0.1489062187122409,0.038156340282960444,0.0381525709550792,0.11466120837489598,0.1489062187122409,True,True,True,1000,True
B1_stress_m150_to_250,500,503,3,quadratic_curvature_limited,0.0032874128324206,0.03636190804623609,0.0363598036217423,0.06401460969660376,0.02239194963602169,0.0223898452115279,0.06401460969660376,0.03800513033711079,0.0380035100379526,0.04928797327225244,0.06401460969660376,True,True,True,1000,True
B1_stress_m150_to_250,500,501,1,quadratic_curvature_limited,0.0032874395493811,0.03628596018773014,0.036285258066987,0.021357677687946885,0.022316001777515748,0.0223152996567726,0.021357677688157956,0.03792951834381011,0.0379289778416776,0.016441431831383854,0.021357677688157956,True,True,True,1000,True
B1_stress_m150_to_250,1000,5000,4000,local_linear,0.0032863719411082,0.2038414139972485,0.2038270221291175,0.4379257244437437,0.189871455587034,0.1898570637189031,0.4379257244403655,0.2054845557007044,0.2054702080996716,0.43657873454112384,0.4379257244437437,True,True,True,5000,False
B1_stress_m150_to_250,1000,3000,2000,local_linear,0.0032863740440782,0.1293566298629643,0.1293537761746828,0.08683394656960475,0.1153866714527498,0.1153838177644684,0.08683394656622649,0.13099979515932558,0.130996963196722,0.08617286302792743,0.08683394656960475,True,True,True,5000,True
B1_stress_m150_to_250,1000,2000,1000,local_linear,0.0032863748357274,0.0921142377958222,0.092113380978674,0.02607180224510484,0.0781442793856077,0.0781434225684596,0.02607180224172658,0.0937574148886362,0.0937565683965377,0.025757624763222374,0.02607180224510484,True,True,True,5000,True
B1_stress_m150_to_250,1000,1500,500,local_linear,0.0032863750586318,0.07349304176225115,0.0734928220850366,0.0066844839869109616,0.059523083352036654,0.0595228636748221,0.0066844839871221026,0.0751362247532915,0.0751360096143525,0.006546390328516493,0.0066844839871221026,True,True,True,5000,True
B1_stress_m150_to_250,1000,1250,250,local_linear,0.0032863758455457,0.06418244374546563,0.0641824351875543,0.0002604057395211091,0.05021248533525113,0.0502124767773399,0.0002604057365651321,0.06582562968561914,0.0658256231103272,0.0002000772962362349,0.0002604057395211091,True,True,True,5000,True
B1_stress_m150_to_250,1000,1125,125,local_linear,0.0032863765320656,0.05952714473707286,0.0595271918374047,0.0014331994944435352,0.04555718632685836,0.0455572334271903,0.0014331994973995116,0.06117033215178297,0.0611703801034376,0.0014591040973316821,0.0014591040973316821,True,True,True,5000,True
B1_stress_m150_to_250,1000,1062,62,local_linear,0.0032863766456167,0.05718087403684291,0.0571809110412644,0.0011259945369210306,0.04321091562662841,0.04321095263105,0.001125994539877007,0.05882406219472954,0.0588240993640728,0.0011310128833106807,0.0011310128833106807,True,True,True,5000,True
B1_stress_m150_to_250,1000,1031,31,local_linear,0.0032863773218613,0.0560263598827615,0.0560264047276341,0.0013645685874771345,0.042056401472547,0.0420564463174197,0.0013645685904331102,0.057669548406338166,0.0576695933885647,0.0013687480811971236,0.0013687480811971236,True,True,True,5000,True
B1_stress_m150_to_250,1000,1015,15,local_linear,0.0032863786029571,0.05543048160968723,0.0554305097341037,0.0008557874751258191,0.04146052319947273,0.0414605513238893,0.0008557874782929347,0.057073670322007136,0.0570736990355823,0.0008737147672985181,0.0008737147672985181,True,True,True,5000,True
B1_stress_m150_to_250,1000,1007,7,local_linear,0.0032863784954748,0.055132542473150095,0.055132552304402,0.00029915154071221014,0.041162584062935596,0.0411625938941876,0.0002991515438793258,0.056775731279841625,0.0567757415521394,0.00031257196304156613,0.00031257196304156613,True,True,True,5000,True
B1_stress_m150_to_250,1000,1003,3,local_linear,0.0032863783737497,0.054983572904881525,0.0549835753219481,7.354803068245527e-05,0.041013614494667026,0.0410136169117336,7.354803068245527e-05,0.056626761758758866,0.0566267645088229,8.368068791566723e-05,8.368068791566723e-05,True,True,True,5000,True
B1_stress_m150_to_250,1000,1001,1,local_linear,0.003286377731265,0.05490908812074724,0.0549090884628802,1.0410640188928184e-05,0.04093912971053274,0.0409391300526658,1.0410643144903504e-05,0.056552276998217486,0.0565522773285127,1.005043369323071e-05,1.0410643144903504e-05,True,True,True,5000,True
B1_stress_m150_to_250,1000,5000,4000,least_squares_local_linear,0.0032863719411082,0.20384468250247406,0.2038270221291175,0.5373820636569606,0.18987472409225847,0.1898570637189031,0.5373820636206442,0.2054877739764248,0.2054702080996716,0.5345066556061084,0.5373820636569606,True,True,True,5000,False
B1_stress_m150_to_250,1000,3000,2000,least_squares_local_linear,0.0032863740440782,0.12935826411557708,0.1293537761746828,0.1365620843544439,0.11538830570536203,0.1153838177644684,0.1365620843345966,0.13100140429718576,0.130996963196722,0.1351367922276723,0.1365620843544439,True,True,True,5000,True
B1_stress_m150_to_250,1000,2000,1000,least_squares_local_linear,0.0032863748357274,0.09211505492212857,0.092113380978674,0.0509358651476392,0.07814509651191381,0.0781434225684596,0.050935865136659854,0.09375821945756628,0.0937565683965377,0.05023958346525405,0.0509358651476392,True,True,True,5000,True
B1_stress_m150_to_250,1000,1500,500,least_squares_local_linear,0.0032863750586318,0.07349345032540433,0.0734928220850366,0.019116514594952866,0.059523491915189713,0.0595228636748221,0.019116514591363463,0.07513662703775655,0.0751360096143525,0.018787368849476654,0.019116514594952866,True,True,True,5000,True
