variable,value
STATEV1_end,0.13485494256019592
STATEV2_end,-85.89347076416016
STATEV3_end,42.94673538208008
STATEV4_end,42.94673538208008
STATEV5_end,-2.0947599256398208e-15
STATEV6_end,2.2161001084864085e-16
STATEV7_end,-2.4222445285629373e-15
STATEV8_end,-0.0017928289016708732
STATEV9_end,0.0008964144508354366
STATEV10_end,0.0008964144508354366
STATEV11_end,-3.3179593353900074e-19
STATEV12_end,-2.99851439388397e-19
STATEV13_end,-1.0530329811066763e-19
STATEV14_end,1.3440132141113281
STATEV15_end,0.0
