quantity,value,reference,absolute_error,relative_error,relative_error_percent,notes
STATEV1,0.00559759652242,0.142025694251,0.136428097729,0.960587437703,96.0587437703,final-frame integration-point average
STATEV2,-87.6441726685,-85.8880233765,1.75614929199,0.0204469636505,2.04469636505,final-frame integration-point average
STATEV3,43.8220863342,42.9440116882,0.878074645996,0.0204469636505,2.04469636505,final-frame integration-point average
STATEV4,43.8220863342,42.9440116882,0.878074645996,0.0204469636505,2.04469636505,final-frame integration-point average
STATEV5,2.20513190863e-16,1.10302119978e-15,8.8250800892e-16,0.800082545189,80.0082545189,final-frame integration-point average
STATEV6,1.33941310685e-15,2.8931807587e-15,1.55376765185e-15,0.537044789606,53.7044789606,final-frame integration-point average
STATEV7,-1.96417816666e-15,-2.30637507344e-15,3.42196906781e-16,0.148370016101,14.8370016101,final-frame integration-point average
STATEV8,-0.00178161333315,-0.0017925434513,1.0930118151e-05,0.00609754711556,0.609754711556,final-frame integration-point average
STATEV9,0.000890806666575,0.000896271725651,5.4650590755e-06,0.00609754711556,0.609754711556,final-frame integration-point average
STATEV10,0.000890806666575,0.000896271725651,5.4650590755e-06,0.00609754711556,0.609754711556,final-frame integration-point average
STATEV11,3.83246666292e-20,-2.57704357138e-19,2.96029023768e-19,1.14871563312,114.871563312,final-frame integration-point average
STATEV12,1.50378567695e-20,-2.66356443395e-19,2.81394300164e-19,1.05645764216,105.645764216,final-frame integration-point average
STATEV13,-3.98018423238e-20,-1.20477652606e-19,8.06758102821e-20,0.669632986177,66.9632986177,final-frame integration-point average
STATEV14,0.05596813187,1.41522598267,1.3592578508,0.960452865793,96.0452865793,final-frame integration-point average
STATEV15,0,0,0,,,final-frame integration-point average
S11,374.138793945,376.434143066,2.29534912109,0.0060976113973,0.60976113973,final-frame integration-point average
S22,4.10782519111e-15,2.6645352591e-15,1.44328993201e-15,0.541666666667,54.1666666667,final-frame integration-point average
S33,2.6645352591e-15,8.881784197e-16,1.7763568394e-15,2,200,final-frame integration-point average
S12,-2.76849922543e-14,9.5565358838e-15,3.72415281381e-14,3.89696942395,389.696942395,final-frame integration-point average
S13,-3.23292507165e-15,-9.16453761202e-15,5.93161254037e-15,0.64723533161,64.723533161,final-frame integration-point average
S23,2.88374844464e-15,3.77247443805e-15,8.88725993413e-16,0.235581713808,23.5581713808,final-frame integration-point average
RIGHT_FACE_U1_AVG,0,,,,,"final-frame RIGHT_FACE average, if available"
RIGHT_FACE_RF1_SUM,1496.55517578,,,,,"final-frame RIGHT_FACE sum, if available"
