quantity,predicted_cycle19,exact_cycle19,absolute_error,relative_error,relative_error_percent,policy
STATEV1,0.134935969953,0.13485494256,8.10273923441e-05,0.000600848517717,0.0600848517717,active_first_order_cycle_space
STATEV2,-84.2407455444,-85.8934707642,1.65272521977,0.019241569878,1.9241569878,active_first_order_cycle_space
STATEV3,42.1203727722,42.9467353821,0.826362609886,0.019241569878,1.9241569878,active_first_order_cycle_space
STATEV4,42.1203727722,42.9467353821,0.826362609886,0.019241569878,1.9241569878,active_first_order_cycle_space
STATEV5,3.56155496981e-15,-2.09475992564e-15,5.65631489545e-15,2.70022107365,270.022107365,near_zero_predicted_flagged
STATEV6,1.8035946529e-15,2.21610010849e-16,1.58198464205e-15,7.13859737649,713.859737649,near_zero_predicted_flagged
STATEV7,-1.59588153772e-15,-2.42224452856e-15,8.26362990843e-16,0.341155891199,34.1155891199,near_zero_predicted_flagged
STATEV8,-0.00180919677951,-0.00179282890167,1.6367877836e-05,0.00912963742425,0.912963742425,active_first_order_cycle_space
STATEV9,0.000904598389752,0.000896414450835,8.18393891698e-06,0.00912963742313,0.912963742313,active_first_order_cycle_space
STATEV10,0.000904598389752,0.000896414450835,8.18393891698e-06,0.00912963742313,0.912963742313,active_first_order_cycle_space
STATEV11,-5.38579218827e-19,-3.31795933539e-19,2.06783285288e-19,0.623224290551,62.3224290551,near_zero_predicted_flagged
STATEV12,-3.23555712142e-19,-2.99851439388e-19,2.37042727533e-20,0.0790533899109,7.90533899109,near_zero_predicted_flagged
STATEV13,-5.91050030116e-20,-1.05303298111e-19,4.61982950991e-20,0.438716506776,43.8716506776,near_zero_predicted_flagged
STATEV14,1.34481799027,1.34401321411,0.000804776156449,0.000598785895852,0.0598785895852,recomputed_from_predicted_STATEV1
STATEV15,0,0,0,,,reset_to_zero_for_injection
S11,339.014099121,335.576873779,3.4372253418,0.0102427360476,1.02427360476,first_order_cycle_space
S22,-1.42108547152e-14,2.22044604925e-16,1.44328993201e-14,65,6500,first_order_cycle_space
S33,-1.50990331349e-14,-5.3290705182e-15,9.7699626167e-15,1.83333333333,183.333333333,first_order_cycle_space
S12,3.87337054501e-14,-8.97686829078e-15,4.77105737409e-14,5.3148349954,531.48349954,first_order_cycle_space
S13,-1.20852815838e-14,-6.97782904388e-15,5.10745253995e-15,0.731954381203,73.1954381203,first_order_cycle_space
S23,1.04574270107e-14,3.21972742483e-15,7.23769958589e-15,2.24792307885,224.792307885,first_order_cycle_space
