quantity,predicted_cycle29,exact_cycle29,absolute_error,relative_error,relative_error_percent,policy
STATEV1,0.206790621858,0.20651113987,0.00027948198814,0.00135335066339,0.135335066339,active_first_order_cycle_space
STATEV2,-82.3499526977,-85.8389892578,3.4890365601,0.0406462912747,4.06462912747,active_first_order_cycle_space
STATEV3,41.1749763489,42.9194946289,1.74451828005,0.0406462912746,4.06462912746,active_first_order_cycle_space
STATEV4,41.1749763489,42.9194946289,1.74451828005,0.0406462912746,4.06462912746,active_first_order_cycle_space
STATEV5,5.41768929145e-15,9.73590449392e-16,4.44409884206e-15,4.56464917547,456.464917547,near_zero_predicted_flagged
STATEV6,2.06147328959e-15,6.26839982822e-16,1.43463330677e-15,2.28867549308,228.867549308,near_zero_predicted_flagged
STATEV7,-1.39127229942e-15,-1.80344056569e-15,4.12168266271e-16,0.228545522438,22.8545522438,near_zero_predicted_flagged
STATEV8,-0.00182452091637,-0.00178998347837,3.4537438e-05,0.0192948361911,1.92948361911,active_first_order_cycle_space
STATEV9,0.000912260458184,0.000894991739187,1.7268718997e-05,0.0192948361877,1.92948361877,active_first_order_cycle_space
STATEV10,0.000912260458184,0.000894991739187,1.7268718997e-05,0.0192948361877,1.92948361877,active_first_order_cycle_space
STATEV11,-8.59081377413e-19,-5.10369037231e-19,3.48712340182e-19,0.68325528146,68.325528146,near_zero_predicted_flagged
STATEV12,-5.11663250426e-19,-2.0754679859e-19,3.04116451836e-19,1.46529097968,146.529097968,near_zero_predicted_flagged
STATEV13,-6.98289811714e-20,-1.29778018847e-19,5.99490376756e-20,0.46193521991,46.193521991,near_zero_predicted_flagged
STATEV14,2.05725237845,2.05448627472,0.00276610372563,0.00134637245314,0.134637245314,recomputed_from_predicted_STATEV1
STATEV15,0,0,0,,,reset_to_zero_for_injection
S11,342.232143826,334.9793396,7.25280422625,0.0216514971786,2.16514971786,first_order_cycle_space
S22,-2.60532336446e-14,2.22044604925e-15,2.82736796939e-14,12.7333333334,1273.33333334,first_order_cycle_space
S33,-2.7928276975e-14,8.881784197e-16,2.88164553947e-14,32.4444444444,3244.44444444,first_order_cycle_space
S12,7.78029948368e-14,-2.56602649201e-15,8.03690213288e-14,31.3204176103,3132.04176103,first_order_cycle_space
S13,-2.62819331652e-14,-1.69798585008e-14,9.30207466442e-15,0.547829928264,54.7829928264,first_order_cycle_space
S23,1.45367494564e-14,2.31592757353e-15,1.22208218829e-14,5.27685840549,527.685840549,first_order_cycle_space
