quantity,cycle30_reference_value,source,lower_time,upper_time,alpha
STATEV1,0.213713369924,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV2,-79.8801701495,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV3,39.9400850747,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV4,39.9400850747,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV5,3.5430322615e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV6,7.10337056664e-16,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV7,-1.23812205132e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV8,-0.00174683590593,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV9,0.000873417952965,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV10,0.000873417952965,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV11,-5.30674718364e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV12,-2.06621192947e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV13,-1.02556797465e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV14,2.12575590513,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
STATEV15,4.2863981176e-05,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S11,366.855714346,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S22,0.0313291579297,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S33,0.0313291579297,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S12,1.57918926701e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S13,-3.71515099882e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
S23,6.4342971385e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
RIGHT_FACE_U1_AVG,6.52643656009e-08,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
RIGHT_FACE_RF1_SUM,1467.42285738,linear_interpolation_between_bracketing_50cycle_ODB_frames,29.9902572632,30.0102577209,0.487125691398
