quantity,value
base_cycle,10
mean_window,2-10
eta,0.75
eps,1e-12
jumpmin,1
jumpmax,60
deltaN_restart,17
controlling_restart_variable,STATEV2
controlling_restart_group,restart_state
controlling_mean_increment,0.189079284668
controlling_admissible_change,4.29843576219
statev1_monitor_deltaN,1
statev1_monitor_mean_increment,0.00718546519056
statev1_monitor_admissible_change,0.00140533566475
recommended_target_cycle,27
skipped_intermediate_fe_cycles,16
nearest_scanned_target,29
nearest_scanned_deltaN,19
