quantity,predicted_cycle39,exact_cycle39,absolute_error,relative_error,relative_error_percent,policy
STATEV1,0.278645273764,0.278053849936,0.00059142382774,0.00212701182838,0.212701182838,active_first_order_cycle_space
STATEV2,-80.459159851,-85.7844543457,5.32529449468,0.0620776169213,6.20776169213,active_first_order_cycle_space
STATEV3,40.2295799255,42.8922271729,2.66264724739,0.0620776169223,6.20776169223,active_first_order_cycle_space
STATEV4,40.2295799255,42.8922271729,2.66264724739,0.0620776169223,6.20776169223,active_first_order_cycle_space
STATEV5,7.27382361309e-15,2.22962218216e-15,5.04420143093e-15,2.26235703578,226.235703578,near_zero_predicted_flagged
STATEV6,2.31935192629e-15,4.31648345278e-15,1.99713152649e-15,0.462675589595,46.2675589595,near_zero_predicted_flagged
STATEV7,-1.18666306112e-15,-1.61915731655e-15,4.32494255431e-16,0.267110706916,26.7110706916,near_zero_predicted_flagged
STATEV8,-0.00183984505323,-0.00178715586662,5.26891866131e-05,0.0294821440017,2.94821440017,active_first_order_cycle_space
STATEV9,0.000919922526616,0.000893577933311,2.63445933046e-05,0.0294821439994,2.94821439994,active_first_order_cycle_space
STATEV10,0.000919922526616,0.000893577933311,2.63445933046e-05,0.0294821439994,2.94821439994,active_first_order_cycle_space
STATEV11,-1.179583536e-18,-5.27553430114e-19,6.52030105885e-19,1.2359508415,123.59508415,near_zero_predicted_flagged
STATEV12,-6.9977078871e-19,-2.88150831971e-19,4.11619956739e-19,1.42848783022,142.848783022,near_zero_predicted_flagged
STATEV13,-8.05529593313e-20,-1.39749925287e-19,5.91969659557e-20,0.423592111653,42.3592111653,near_zero_predicted_flagged
STATEV14,2.76713177283,2.76129937172,0.0058324011081,0.00211219441392,0.211219441392,recomputed_from_predicted_STATEV1
STATEV15,0,0,0,,,reset_to_zero_for_injection
S11,345.450188531,334.385559082,11.0646294491,0.0330894356786,3.30894356786,first_order_cycle_space
S22,-3.7895612574e-14,-1.02140518266e-14,2.76815607474e-14,2.71014492753,271.014492753,first_order_cycle_space
S33,-4.07575208151e-14,-1.24344978758e-14,2.83230229393e-14,2.27777777778,227.777777778,first_order_cycle_space
S12,1.16872284223e-13,9.81355807901e-15,1.07058726144e-13,10.9092670856,1090.92670856,first_order_cycle_space
S13,-4.04785847466e-14,-6.11853045074e-15,3.43600542959e-14,5.61573642111,561.573642111,first_order_cycle_space
S23,1.86160719021e-14,7.19355367128e-15,1.14225182308e-14,1.58788253383,158.788253383,first_order_cycle_space
