quantity,cycle40_reference_value,source,lower_time,upper_time,alpha
STATEV1,0.285242454471,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV2,-80.1291968407,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV3,40.0645984204,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV4,40.0645984204,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV5,-2.12691440892e-16,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV6,3.70314051111e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV7,-1.84802689371e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV8,-0.00174632858654,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV9,0.000873164293271,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV10,0.000873164293271,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV11,-6.1503984625e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV12,-3.03377966069e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV13,-1.52973265942e-19,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV14,2.8321801869,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
STATEV15,4.05455443685e-05,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S11,366.748147263,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S22,0.0296346254003,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S33,0.0296346254003,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S12,2.24106215853e-14,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S13,-5.37998041513e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
S23,8.1094093391e-15,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
RIGHT_FACE_U1_AVG,6.52643656009e-08,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
RIGHT_FACE_RF1_SUM,1466.99258905,linear_interpolation_between_bracketing_50cycle_ODB_frames,39.9902572632,40.0102577209,0.487125691398
