cycle,time,target_time,time_error,integration_point_values_averaged,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15
1,0.990257799625,1,-0.0097422003746,8,0.00559759652242,-87.6441726685,43.8220863342,43.8220863342,2.20513190863e-16,1.33941310685e-15,-1.96417816666e-15,-0.00178161333315,0.000890806666575,0.000890806666575,3.83246666292e-20,1.50378567695e-20,-3.98018423238e-20,0.05596813187,0,0.00559759652242,-87.6441726685,43.8220863342,43.8220863342,2.20513190863e-16,1.33941310685e-15,-1.96417816666e-15,-0.00178161333315,0.000890806666575,0.000890806666575,3.83246666292e-20,1.50378567695e-20,-3.98018423238e-20,0.05596813187,0
2,1.99025785923,2,-0.00974214076996,8,0.0127773005515,-86.0254898071,43.0127449036,43.0127449036,-4.60853283932e-16,4.10137866158e-16,-2.0252382208e-15,-0.00179731694516,0.000898658472579,0.000898658472579,2.29629223532e-20,-1.69710893365e-20,-5.05866323894e-20,0.127732202411,0,0.00717970402911,1.61868286133,-0.809341430664,-0.809341430664,-6.81366474795e-16,-9.29275240691e-16,-6.10600541426e-17,-1.57036120072e-05,7.8518060036e-06,7.8518060036e-06,-1.5361744276e-20,-3.2008946106e-20,-1.07847900656e-20,0.0717640705407,0
3,2.99025774002,3,-0.00974225997925,8,0.0199672728777,-85.9814758301,42.990737915,42.990737915,-1.58848450942e-15,7.39446299761e-16,-2.20548810253e-15,-0.00179740961175,0.000898704805877,0.000898704805877,-6.74157976974e-20,-7.32325372175e-20,-4.8755241639e-20,0.199573099613,0,0.00718997232616,0.0440139770508,-0.0220069885254,-0.0220069885254,-1.12763122549e-15,3.29308433603e-16,-1.80249881725e-16,-9.26665961742e-08,4.63332980871e-08,4.63332980871e-08,-9.03787200506e-20,-5.6261447881e-20,1.8313907504e-21,0.0718408972025,0
4,3.99025774002,4,-0.00974225997925,8,0.0271563660353,-85.9751205444,42.9875602722,42.9875602722,1.76880906116e-15,1.53303691089e-15,-1.95426542776e-15,-0.00179713044781,0.000898565223906,0.000898565223906,9.87716447241e-21,-5.11768195466e-20,-4.46177074896e-20,0.271379381418,0,0.00718909315765,0.00635528564453,-0.00317764282227,-0.00317764282227,3.35729357058e-15,7.93590611131e-16,2.51222674768e-16,2.79163941741e-07,-1.3958197087e-07,-1.3958197087e-07,7.72929621698e-20,2.20557176709e-20,4.13753414944e-21,0.071806281805,0
5,4.99025774002,5,-0.00974225997925,8,0.0343443118036,-85.9696578979,42.984828949,42.984828949,2.76341723024e-16,2.24396480908e-15,-2.26315853182e-15,-0.00179684255272,0.000898421276361,0.000898421276361,-6.62526438254e-20,-5.95858641446e-20,-7.15975921186e-20,0.34314841032,0,0.00718794576824,0.00546264648438,-0.00273132324219,-0.00273132324219,-1.49246733813e-15,7.10927898185e-16,-3.08893104061e-16,2.87895090878e-07,-1.43947545439e-07,-1.43947545439e-07,-7.61298082978e-20,-8.409044598e-21,-2.6979884629e-20,0.0717690289021,0
6,5.99025774002,6,-0.00974225997925,8,0.0415311083198,-85.9642181396,42.9821090698,42.9821090698,1.95107243284e-15,2.17461964113e-15,-1.46060143919e-15,-0.00179655465763,0.000898277328815,0.000898277328815,-5.4795357083e-20,-9.80049340233e-21,-6.36670820062e-20,0.414880156517,0,0.00718679651618,0.00543975830078,-0.00271987915039,-0.00271987915039,1.67473070982e-15,-6.93451679498e-17,8.02557092634e-16,2.87895090878e-07,-1.43947545439e-07,-1.43947545439e-07,1.14572867424e-20,4.97853707423e-20,7.93051011232e-21,0.0717317461967,0
7,6.99025774002,7,-0.00974225997925,8,0.0487167499959,-85.9587783813,42.9793891907,42.9793891907,-1.22846045299e-15,2.70478406445e-15,-2.19527620714e-15,-0.00179626699537,0.000898133497685,0.000898133497685,-1.71528971728e-19,-3.47981277428e-20,-7.15267569026e-20,0.486574649811,0,0.00718564167619,0.00543975830078,-0.00271987915039,-0.00271987915039,-3.17953288584e-15,5.30164423326e-16,-7.34674767955e-16,2.87662260234e-07,-1.43831130117e-07,-1.43831130117e-07,-1.16733614645e-19,-2.49976343405e-20,-7.85967489638e-21,0.0716944932938,0
8,7.99025774002,8,-0.00974225997925,8,0.0559012442827,-85.953338623,42.9766693115,42.9766693115,1.68141815405e-15,9.49773439669e-16,-1.18211162737e-15,-0.00179597956594,0.00089798978297,0.00089798978297,-2.32313390692e-19,-7.93643796405e-20,-6.15597881009e-20,0.558231890202,0,0.00718449428678,0.00543975830078,-0.00271987915039,-0.00271987915039,2.90987860704e-15,-1.75501062478e-15,1.01316457977e-15,2.87429429591e-07,-1.43714714795e-07,-1.43714714795e-07,-6.07844189638e-20,-4.45662518977e-20,9.96696880175e-21,0.0716572403908,0
9,8.99025821686,9,-0.00974178314209,8,0.0630845874548,-85.9478988647,42.9739494324,42.9739494324,-2.01679468537e-15,1.22408415139e-15,-2.17611435649e-15,-0.00179569213651,0.000897846068256,0.000897846068256,-3.02919766386e-19,-1.46914176356e-19,-6.70347939856e-20,0.629851996899,0,0.00718334317207,0.00543975830078,-0.00271987915039,-0.00271987915039,-3.69821283942e-15,2.74310711724e-16,-9.9400272912e-16,2.87429429591e-07,-1.43714714795e-07,-1.43714714795e-07,-7.06063756937e-20,-6.75497967157e-20,-5.47500588471e-21,0.0716201066971,0
10,9.99025821686,10,-0.00974178314209,8,0.0702667832375,-85.9424591064,42.9712295532,42.9712295532,1.89103408034e-15,1.57150387987e-15,-1.78002985219e-15,-0.00179540505633,0.000897702528164,0.000897702528164,-2.50127276099e-19,-1.54258927686e-19,-4.94534226677e-20,0.701434910297,0,0.00718219578266,0.00543975830078,-0.00271987915039,-0.00271987915039,3.90782876571e-15,3.47419728478e-16,3.96084504302e-16,2.87080183625e-07,-1.43540091813e-07,-1.43540091813e-07,5.27924902871e-20,-7.34475133e-21,1.75813713179e-20,0.0715829133987,0
11,10.9902582169,11,-0.00974178314209,8,0.0774478241801,-85.9370193481,42.9685096741,42.9685096741,2.07583654289e-15,2.82807062644e-15,-1.54774568434e-15,-0.00179511809256,0.00089755904628,0.00089755904628,-1.96121743745e-19,-1.25051350096e-19,-4.61570903571e-20,0.772980690002,0,0.00718104094267,0.00543975830078,-0.00271987915039,-0.00271987915039,1.84802462546e-16,1.25656674657e-15,2.32284167849e-16,2.86963768303e-07,-1.43481884152e-07,-1.43481884152e-07,5.40055323538e-20,2.92075775906e-20,3.29633231053e-21,0.071545779705,0
12,11.9902582169,12,-0.00974178314209,8,0.084627725184,-85.9315795898,42.9657897949,42.9657897949,-7.60458548477e-16,3.60433766349e-15,-2.37016420322e-15,-0.00179483124521,0.000897415622603,0.000897415622603,-3.10030239182e-19,-9.53661033681e-20,-5.771859287e-20,0.844489336014,0,0.00717990100384,0.00543975830078,-0.00271987915039,-0.00271987915039,-2.83629509137e-15,7.76267037045e-16,-8.22418518877e-16,2.86847352982e-07,-1.43423676491e-07,-1.43423676491e-07,-1.13908495437e-19,2.96852467275e-20,-1.15615025129e-20,0.0715086460114,0
13,12.9902582169,13,-0.00974178314209,8,0.0918064787984,-85.9261322021,42.9630661011,42.9630661011,-1.46780832637e-15,2.760419756e-15,-1.84690193126e-15,-0.00179454463068,0.000897272315342,0.000897272315342,-2.34184044148e-19,-4.66846130798e-20,-5.15934978457e-20,0.915960907936,0,0.00717875361443,0.00544738769531,-0.00272369384766,-0.00272369384766,-7.07349777898e-16,-8.4391790749e-16,5.23262271958e-16,2.86614522338e-07,-1.43307261169e-07,-1.43307261169e-07,7.58461950341e-20,4.86814902883e-20,6.12509502429e-21,0.0714715719223,0
14,13.9902582169,14,-0.00974178314209,8,0.0989840850234,-85.9206924438,42.9603462219,42.9603462219,-1.47321841184e-15,1.77713111354e-15,-1.94568269933e-15,-0.00179425824899,0.000897129124496,0.000897129124496,-2.57941053528e-19,-6.38659523006e-20,-6.4407696229e-20,0.987395405769,0,0.00717760622501,0.00543975830078,-0.00271987915039,-0.00271987915039,-5.4100854609e-18,-9.83288642457e-16,-9.8780768069e-17,2.86381691694e-07,-1.43190845847e-07,-1.43190845847e-07,-2.37570093799e-20,-1.71813392208e-20,-1.28141983833e-20,0.0714344978333,0
15,14.9902582169,15,-0.00974178314209,8,0.106160543859,-85.9152450562,42.9576225281,42.9576225281,1.74724327145e-15,1.50182357473e-15,-2.00563868573e-15,-0.00179397198372,0.000896985991858,0.000896985991858,-3.00274781656e-19,-1.10229480968e-19,-9.0700665167e-20,1.05879294872,0,0.0071764588356,0.00544738769531,-0.00272369384766,-0.00272369384766,3.22046168328e-15,-2.75307538808e-16,-5.99559864005e-17,2.86265276372e-07,-1.43132638186e-07,-1.43132638186e-07,-4.23337281285e-20,-4.63635286675e-20,-2.6292968938e-20,0.0713975429535,0
16,15.9902582169,16,-0.00974178314209,8,0.113335862756,-85.9098052979,42.9549026489,42.9549026489,-1.20887148598e-15,2.89511651436e-15,-1.84356951836e-15,-0.00179368595127,0.000896842975635,0.000896842975635,-3.83595632204e-19,-1.46760809275e-19,-8.49247564815e-20,1.13015341759,0,0.00717531889677,0.00543975830078,-0.00271987915039,-0.00271987915039,-2.95611475743e-15,1.39329293963e-15,1.62069167372e-16,2.86032445729e-07,-1.43016222864e-07,-1.43016222864e-07,-8.33208505474e-20,-3.65313283074e-20,5.77590868547e-21,0.0713604688644,0
17,16.9902572632,17,-0.00974273681641,8,0.120510034263,-85.9043579102,42.9521789551,42.9521789551,-8.40339666435e-16,2.00876401893e-15,-2.25735031523e-15,-0.00179340003524,0.00089670001762,0.00089670001762,-3.38923101027e-19,-1.40298557675e-19,-8.6849280731e-20,1.20147693157,0,0.00717417150736,0.00544738769531,-0.00272369384766,-0.00272369384766,3.68531819547e-16,-8.86352495426e-16,-4.13780796873e-16,2.85916030407e-07,-1.42958015203e-07,-1.42958015203e-07,4.46725311768e-20,6.46225160034e-21,-1.92452424947e-21,0.0713235139847,0
18,17.9902572632,18,-0.00974273681641,8,0.127683058381,-85.8989181519,42.9494590759,42.9494590759,2.91101358818e-15,1.65167198483e-15,-1.64879219524e-15,-0.00179311435204,0.00089655717602,0.00089655717602,-2.05773558324e-19,-1.8564924286e-19,-8.70849258275e-20,1.27276349068,0,0.00717302411795,0.00543975830078,-0.00271987915039,-0.00271987915039,3.75135325462e-15,-3.57092034098e-16,6.08558119997e-16,2.85683199763e-07,-1.42841599882e-07,-1.42841599882e-07,1.33149542703e-19,-4.53506851854e-20,-2.35645096485e-22,0.0712865591049,0
19,18.9902572632,19,-0.00974273681641,8,0.13485494256,-85.8934707642,42.9467353821,42.9467353821,-2.09475992564e-15,2.21610010849e-16,-2.42224452856e-15,-0.00179282890167,0.000896414450835,0.000896414450835,-3.31795933539e-19,-2.99851439388e-19,-1.05303298111e-19,1.34401321411,0,0.00717188417912,0.00544738769531,-0.00272369384766,-0.00272369384766,-5.00577351382e-15,-1.43006197399e-15,-7.73452333327e-16,2.8545036912e-07,-1.4272518456e-07,-1.4272518456e-07,-1.26022375215e-19,-1.14202196528e-19,-1.82183722832e-20,0.0712497234344,0
20,20,20,0,8,0.142025694251,-85.8880233765,42.9440116882,42.9440116882,1.10302119978e-15,2.8931807587e-15,-2.30637507344e-15,-0.0017925434513,0.000896271725651,0.000896271725651,-2.57704357138e-19,-2.66356443395e-19,-1.20477652606e-19,1.41522598267,0,0.00717075169086,0.00544738769531,-0.00272369384766,-0.00272369384766,3.19778112542e-15,2.67157074785e-15,1.15869455121e-16,2.8545036912e-07,-1.4272518456e-07,-1.4272518456e-07,7.40915764005e-20,3.34949959937e-20,-1.51743544953e-20,0.0712127685547,0
