cycle,time,target_time,time_error,integration_point_values_averaged,STATEV1_end,STATEV2_end,STATEV3_end,STATEV4_end,STATEV5_end,STATEV6_end,STATEV7_end,STATEV8_end,STATEV9_end,STATEV10_end,STATEV11_end,STATEV12_end,STATEV13_end,STATEV14_end,STATEV15_end,Delta_STATEV1,Delta_STATEV2,Delta_STATEV3,Delta_STATEV4,Delta_STATEV5,Delta_STATEV6,Delta_STATEV7,Delta_STATEV8,Delta_STATEV9,Delta_STATEV10,Delta_STATEV11,Delta_STATEV12,Delta_STATEV13,Delta_STATEV14,Delta_STATEV15
1,0.999125003815,1,-0.000874996185303,8,0.00568848475814,-90.3968276978,45.1984138489,45.1984138489,-7.28666300039e-16,2.56962527692e-15,-1.90110475573e-15,-0.00182959111407,0.000914795557037,0.000914795557037,-1.533179538e-20,3.24458827571e-20,-3.91855669181e-20,0.0568767599761,0,0.00568848475814,-90.3968276978,45.1984138489,45.1984138489,-7.28666300039e-16,2.56962527692e-15,-1.90110475573e-15,-0.00182959111407,0.000914795557037,0.000914795557037,-1.533179538e-20,3.24458827571e-20,-3.91855669181e-20,0.0568767599761,0
2,1.99912500381,2,-0.000874996185303,8,0.0130380559713,-89.1491699219,44.5745849609,44.5745849609,2.15940368023e-15,2.17462281088e-15,-2.01017149321e-15,-0.00183904299047,0.000919521495234,0.000919521495234,8.53767469715e-20,3.12172033973e-20,-3.70086110665e-20,0.130338072777,0,0.00734957121313,1.24765777588,-0.623828887939,-0.623828887939,2.88806998027e-15,-3.95002466034e-16,-1.09066737479e-16,-9.45187639445e-06,4.72593819723e-06,4.72593819723e-06,1.00708542352e-19,-1.22867935985e-21,2.17695585164e-21,0.0734613128006,0
3,2.99912500381,3,-0.000874996185303,8,0.0203940235078,-89.1278991699,44.563949585,44.563949585,6.87819539056e-17,2.15111721646e-15,-2.01170211153e-15,-0.00183885998558,0.000919429992791,0.000919429992791,7.501802111e-20,6.95849090152e-21,-4.36694911784e-20,0.203836292028,0,0.00735596753657,0.0212707519531,-0.0106353759766,-0.0106353759766,-2.09062172632e-15,-2.35055944202e-17,-1.53061831419e-18,1.83004885912e-07,-9.1502442956e-08,-9.1502442956e-08,-1.03587258616e-20,-2.42587124957e-20,-6.66088011198e-21,0.0734982192516,0
4,3.99912500381,4,-0.000874996185303,8,0.0277488455176,-89.1228179932,44.5614089966,44.5614089966,3.77576761613e-16,1.59378230222e-15,-1.69245669073e-15,-0.00183854997158,0.00091927498579,0.00091927498579,9.77016274309e-20,6.63475268539e-21,-3.30638784602e-20,0.277296066284,0,0.0073548220098,0.00508117675781,-0.00254058837891,-0.00254058837891,3.08794807707e-16,-5.57334914242e-16,3.19245420801e-16,3.10014002025e-07,-1.55007001013e-07,-1.55007001013e-07,2.26836063209e-20,-3.23738216135e-22,1.06056127182e-20,0.0734597742558,0
5,4.99912500381,5,-0.000874996185303,8,0.0351024232805,-89.1179580688,44.5589790344,44.5589790344,1.24447847799e-15,2.84846061696e-15,-1.5698847615e-15,-0.00183823856059,0.000919119280297,0.000919119280297,1.15087246941e-19,3.59596861215e-20,-1.9421147016e-20,0.350716382265,0,0.00735357776284,0.00485992431641,-0.0024299621582,-0.0024299621582,8.6690171638e-16,1.25467831474e-15,1.22571929225e-16,3.11410985887e-07,-1.55705492944e-07,-1.55705492944e-07,1.73856195106e-20,2.93249334362e-20,1.36427314442e-20,0.0734203159809,0
6,5.99912500381,6,-0.000874996185303,8,0.0424547567964,-89.1130905151,44.5565452576,44.5565452576,9.81123808223e-16,2.70377865289e-15,-2.01326312335e-15,-0.00183792738244,0.00091896369122,0.00091896369122,1.48584784001e-19,1.60830614716e-20,-2.1204946255e-20,0.424097269773,0,0.00735233351588,0.00486755371094,-0.00243377685547,-0.00243377685547,-2.63354669769e-16,-1.44681964073e-16,-4.43378361851e-16,3.11178155243e-07,-1.55589077622e-07,-1.55589077622e-07,3.34975370598e-20,-1.98766246499e-20,-1.783799239e-21,0.0733808875084,0
7,6.99912500381,7,-0.000874996185303,8,0.04980584234,-89.1082229614,44.5541114807,44.5541114807,5.50852561171e-16,1.72966919068e-15,-2.24387675487e-15,-0.0018376163207,0.00091880816035,0.00091880816035,1.40135261903e-19,-7.07708872964e-21,-3.78540256498e-20,0.497438788414,0,0.00735108554363,0.00486755371094,-0.00243377685547,-0.00243377685547,-4.30271247053e-16,-9.74109462213e-16,-2.3061363152e-16,3.11061739922e-07,-1.55530869961e-07,-1.55530869961e-07,-8.44952209865e-21,-2.31601502013e-20,-1.66490793947e-20,0.0733415186405,0
8,7.99912500381,8,-0.000874996185303,8,0.057155687362,-89.1033630371,44.5516815186,44.5516815186,-5.84756921004e-17,2.30034263383e-15,-2.02633163239e-15,-0.00183730549179,0.000918652745895,0.000918652745895,7.77590609765e-20,-3.47951004355e-20,-4.92872712439e-20,0.570740938187,0,0.00734984502196,0.00485992431641,-0.0024299621582,-0.0024299621582,-6.09328253271e-16,5.70673443156e-16,2.17545122482e-16,3.10828909278e-07,-1.55414454639e-07,-1.55414454639e-07,-6.23762009262e-20,-2.77180117058e-20,-1.14332455942e-20,0.0733021497726,0
9,8.99912452698,9,-0.000875473022461,8,0.064504288137,-89.0984954834,44.5492477417,44.5492477417,-2.20939497417e-16,1.88542533712e-15,-2.39403596816e-15,-0.0018369947793,0.000918497389648,0.000918497389648,8.27731616623e-20,-3.1831216981e-20,-5.58311261504e-20,0.644003808498,0,0.007348600775,0.00486755371094,-0.00243377685547,-0.00243377685547,-1.62463805317e-16,-4.14917296712e-16,-3.67704335773e-16,3.10712493956e-07,-1.55356246978e-07,-1.55356246978e-07,5.01410068583e-21,2.96388345442e-21,-6.54385490648e-21,0.0732628703117,0
10,9.99912452698,10,-0.000875473022461,8,0.0718516409397,-89.0936279297,44.5468139648,44.5468139648,6.07531577276e-17,1.77185537876e-15,-1.98856582678e-15,-0.00183668429963,0.000918342149816,0.000918342149816,5.5961668822e-20,-3.4875250319e-20,-5.68836274499e-20,0.717227339745,0,0.00734735280275,0.00486755371094,-0.00243377685547,-0.00243377685547,2.81692655145e-16,-1.13569958365e-16,4.05470141382e-16,3.10479663312e-07,-1.55239831656e-07,-1.55239831656e-07,-2.68114928403e-20,-3.04403333798e-21,-1.05250129946e-21,0.0732235312462,0
11,10.999124527,11,-0.000875473022461,8,0.0791977643967,-89.088760376,44.544380188,44.544380188,1.13469591744e-15,1.80970111193e-15,-1.80601061585e-15,-0.0018363740528,0.0009181870264,0.0009181870264,1.10861374053e-19,-3.6813450665e-20,-4.8904491396e-20,0.79041159153,0,0.00734612345695,0.00486755371094,-0.00243377685547,-0.00243377685547,1.07394275971e-15,3.78457331771e-17,1.82555210931e-16,3.10246832669e-07,-1.55123416334e-07,-1.55123416334e-07,5.48997052307e-20,-1.93820034602e-21,7.97913605388e-21,0.0731842517853,0
