cycle,SDV1_start,SDV1_end,Delta_SDV1,S11_at_zero_end,RF1_at_zero_end,Max_S11_in_cycle,Min_S11_in_cycle,Stress_Amplitude,Mean_Stress
1,0,0.005597596522,0.005597596522,333.2216187,1332.886475,648.2124634,-674.749939,661.4812012,-13.26873779
2,0.005597596522,0.01277730055,0.007179704029,336.5193787,1346.077515,670.8078613,-671.4525146,671.130188,-0.3223266602
3,0.01277730055,0.01996727288,0.007189972326,336.5388184,1346.155273,671.3881836,-671.4330444,671.410614,-0.02243041992
4,0.01996727288,0.02715636604,0.007189093158,336.4801941,1345.920776,671.4610596,-671.4916992,671.4763794,-0.01531982422
5,0.02715636604,0.0343443118,0.007187945768,336.4197388,1345.678955,671.5218506,-671.552124,671.5369873,-0.01513671875
6,0.0343443118,0.04153110832,0.007186796516,336.359314,1345.437256,671.5823364,-671.6126099,671.5974731,-0.01513671875
7,0.04153110832,0.04871675,0.007185641676,336.2988892,1345.195557,671.6428223,-671.6729736,671.6578979,-0.01507568359
8,0.04871675,0.05590124428,0.007184494287,336.2384949,1344.953979,671.703186,-671.7333984,671.7182922,-0.01510620117
9,0.05590124428,0.06308458745,0.007183343172,336.1781616,1344.712646,671.7635498,-671.7937012,671.7786255,-0.01507568359
10,0.06308458745,0.07026678324,0.007182195783,377.0350647,1508.140259,671.8238525,-671.8540039,671.8389282,-0.01507568359
